2,"SELECT TOP # ObjID, modelMag_r, petroRad_r FROM PhotoObjAll WHERE (ra between # and #) and (dec between # and #) and (type = #) and (modelMag_r between # and #)"
2019-02-10 22:49:00,1
2019-02-10 22:59:00,1
