2,"SELECT TOP # ObjID, modelMag_r, petroRad_r FROM PhotoObjAll WHERE (ra between # and #) and (dec between # and #) and (type = #) and (modelMag_r between # and #) and (petroRad_r <#)"
2019-02-10 23:14:00,1
2019-02-10 23:19:00,1
