5,"SELECT   dbo.fCosmoZfromDc(distmin,DEFAULT,DEFAULT,DEFAULT,DEFAULT,DEFAULT) FROM   dbo.fCosmoDc(#,DEFAULT,DEFAULT,DEFAULT,DEFAULT,DEFAULT) as distmin"
2019-02-10 18:55:00,3
2019-02-10 18:57:00,2
