10,"SELECT dbo.fCosmoDc(#,DEFAULT,DEFAULT,DEFAULT,DEFAULT,DEFAULT) as dist"
2019-02-10 17:33:00,4
2019-02-10 17:34:00,4
2019-02-10 22:29:00,1
2019-02-10 22:34:00,1
