21,"SELECT s.specobjid, s.ra, s.dec, s.plate, s.mjd, s.fiberid FROM #upload u       JOIN SpecObjAll s ON (s.plate=u.up_plate AND s.mjd=u.up_mjd AND s.fiberID=u.up_fiber)"
2019-02-10 02:10:00,1
2019-02-10 03:09:00,1
2019-02-10 03:14:00,1
2019-02-10 03:21:00,1
2019-02-10 03:22:00,2
2019-02-10 03:24:00,1
2019-02-10 03:27:00,1
2019-02-10 03:28:00,1
2019-02-10 03:30:00,1
2019-02-10 10:27:00,1
2019-02-10 10:37:00,1
2019-02-10 10:58:00,1
2019-02-10 10:59:00,1
2019-02-10 11:16:00,2
2019-02-10 11:17:00,1
2019-02-10 12:04:00,1
2019-02-10 12:55:00,1
2019-02-10 12:57:00,1
2019-02-10 13:06:00,1
