2485,"SELECT DISTINCT p.ra , p.dec FROM PhotoObjAll p WHERE (p.ra BETWEEN # AND #) AND (p.dec BETWEEN # AND #) AND p.run = # AND p.rerun = # AND p.camcol = # AND p.field = # GROUP BY p.ra, p.dec"
2019-02-10 00:02:00,10
2019-02-10 00:04:00,1
2019-02-10 00:11:00,10
2019-02-10 00:12:00,2
2019-02-10 00:19:00,10
2019-02-10 00:20:00,2
2019-02-10 00:21:00,2
2019-02-10 00:23:00,3
2019-02-10 00:25:00,5
2019-02-10 00:27:00,3
2019-02-10 00:28:00,3
2019-02-10 00:29:00,2
2019-02-10 00:34:00,10
2019-02-10 00:38:00,4
2019-02-10 00:49:00,10
2019-02-10 00:56:00,10
2019-02-10 00:59:00,1
2019-02-10 01:01:00,4
2019-02-10 01:02:00,4
2019-02-10 01:03:00,2
2019-02-10 01:10:00,10
2019-02-10 01:11:00,2
2019-02-10 01:12:00,3
2019-02-10 01:14:00,4
2019-02-10 01:20:00,10
2019-02-10 01:21:00,1
2019-02-10 01:22:00,3
2019-02-10 01:23:00,2
2019-02-10 01:32:00,10
2019-02-10 01:33:00,1
2019-02-10 01:34:00,3
2019-02-10 01:35:00,2
2019-02-10 01:36:00,2
2019-02-10 01:38:00,2
2019-02-10 01:45:00,10
2019-02-10 01:46:00,3
2019-02-10 01:47:00,2
2019-02-10 01:48:00,3
2019-02-10 01:49:00,1
2019-02-10 01:50:00,3
2019-02-10 01:52:00,4
2019-02-10 01:54:00,3
2019-02-10 01:55:00,4
2019-02-10 01:56:00,3
2019-02-10 01:58:00,2
2019-02-10 02:00:00,3
2019-02-10 02:01:00,2
2019-02-10 02:02:00,5
2019-02-10 02:11:00,11
2019-02-10 02:12:00,2
2019-02-10 02:13:00,4
2019-02-10 02:15:00,2
2019-02-10 02:17:00,4
2019-02-10 02:23:00,10
2019-02-10 02:24:00,1
2019-02-10 02:28:00,10
2019-02-10 02:29:00,3
2019-02-10 02:35:00,10
2019-02-10 02:36:00,3
2019-02-10 02:45:00,10
2019-02-10 02:47:00,2
2019-02-10 02:48:00,2
2019-02-10 02:49:00,3
2019-02-10 02:50:00,2
2019-02-10 02:51:00,2
2019-02-10 02:52:00,12
2019-02-10 02:53:00,2
2019-02-10 02:58:00,5
2019-02-10 02:59:00,1
2019-02-10 03:06:00,1
2019-02-10 03:07:00,9
2019-02-10 03:15:00,10
2019-02-10 03:16:00,1
2019-02-10 03:17:00,3
2019-02-10 03:18:00,3
2019-02-10 03:23:00,2
2019-02-10 03:24:00,8
2019-02-10 03:25:00,4
2019-02-10 03:26:00,2
2019-02-10 03:33:00,11
2019-02-10 03:34:00,2
2019-02-10 03:36:00,2
2019-02-10 03:40:00,10
2019-02-10 03:41:00,1
2019-02-10 03:42:00,4
2019-02-10 03:43:00,2
2019-02-10 03:45:00,4
2019-02-10 03:46:00,2
2019-02-10 03:47:00,2
2019-02-10 03:48:00,1
2019-02-10 03:50:00,4
2019-02-10 03:51:00,3
2019-02-10 03:52:00,1
2019-02-10 03:53:00,3
2019-02-10 03:54:00,1
2019-02-10 03:55:00,10
2019-02-10 03:56:00,3
2019-02-10 03:58:00,2
2019-02-10 04:05:00,10
2019-02-10 04:06:00,2
2019-02-10 04:08:00,3
2019-02-10 04:09:00,1
2019-02-10 04:13:00,5
2019-02-10 04:14:00,3
2019-02-10 04:15:00,1
2019-02-10 04:20:00,10
2019-02-10 04:21:00,1
2019-02-10 04:22:00,2
2019-02-10 04:23:00,4
2019-02-10 04:24:00,1
2019-02-10 04:25:00,3
2019-02-10 04:26:00,2
2019-02-10 04:27:00,3
2019-02-10 04:33:00,10
2019-02-10 04:37:00,10
2019-02-10 04:42:00,7
2019-02-10 04:43:00,1
2019-02-10 04:44:00,2
2019-02-10 04:50:00,7
2019-02-10 04:51:00,4
2019-02-10 04:52:00,1
2019-02-10 04:58:00,10
2019-02-10 05:00:00,5
2019-02-10 05:01:00,2
2019-02-10 05:02:00,2
2019-02-10 05:03:00,2
2019-02-10 05:04:00,1
2019-02-10 05:10:00,5
2019-02-10 05:11:00,5
2019-02-10 05:12:00,4
2019-02-10 05:13:00,2
2019-02-10 05:14:00,3
2019-02-10 05:15:00,1
2019-02-10 05:18:00,2
2019-02-10 05:19:00,8
2019-02-10 05:20:00,4
2019-02-10 05:22:00,1
2019-02-10 05:23:00,4
2019-02-10 05:24:00,2
2019-02-10 05:25:00,1
2019-02-10 05:26:00,2
2019-02-10 05:27:00,4
2019-02-10 05:29:00,2
2019-02-10 05:37:00,10
2019-02-10 05:38:00,3
2019-02-10 05:39:00,2
2019-02-10 05:40:00,1
2019-02-10 05:42:00,4
2019-02-10 05:46:00,10
2019-02-10 05:47:00,3
2019-02-10 05:53:00,6
2019-02-10 05:54:00,3
2019-02-10 05:55:00,3
2019-02-10 05:56:00,4
2019-02-10 06:05:00,10
2019-02-10 06:13:00,10
2019-02-10 06:14:00,2
2019-02-10 06:15:00,4
2019-02-10 06:23:00,10
2019-02-10 06:24:00,3
2019-02-10 06:25:00,2
2019-02-10 06:26:00,3
2019-02-10 06:31:00,10
2019-02-10 06:35:00,8
2019-02-10 06:36:00,3
2019-02-10 06:37:00,2
2019-02-10 06:38:00,1
2019-02-10 06:39:00,3
2019-02-10 06:46:00,10
2019-02-10 06:48:00,1
2019-02-10 06:49:00,5
2019-02-10 06:58:00,10
2019-02-10 06:59:00,4
2019-02-10 07:00:00,2
2019-02-10 07:01:00,1
2019-02-10 07:02:00,2
2019-02-10 07:08:00,10
2019-02-10 07:15:00,8
2019-02-10 07:16:00,2
2019-02-10 07:22:00,6
2019-02-10 07:23:00,4
2019-02-10 07:30:00,10
2019-02-10 07:31:00,4
2019-02-10 07:32:00,1
2019-02-10 07:33:00,2
2019-02-10 07:34:00,2
2019-02-10 07:44:00,10
2019-02-10 07:45:00,4
2019-02-10 07:47:00,2
2019-02-10 07:48:00,1
2019-02-10 07:56:00,9
2019-02-10 07:58:00,5
2019-02-10 07:59:00,3
2019-02-10 08:00:00,2
2019-02-10 08:01:00,1
2019-02-10 08:07:00,9
2019-02-10 08:08:00,1
2019-02-10 08:10:00,4
2019-02-10 08:16:00,10
2019-02-10 08:19:00,6
2019-02-10 08:28:00,10
2019-02-10 08:29:00,2
2019-02-10 08:37:00,10
2019-02-10 08:39:00,4
2019-02-10 08:46:00,10
2019-02-10 08:47:00,2
2019-02-10 08:48:00,2
2019-02-10 08:55:00,8
2019-02-10 08:56:00,4
2019-02-10 08:58:00,5
2019-02-10 08:59:00,3
2019-02-10 09:07:00,10
2019-02-10 09:16:00,10
2019-02-10 09:17:00,2
2019-02-10 09:19:00,4
2019-02-10 09:23:00,6
2019-02-10 09:25:00,4
2019-02-10 09:26:00,1
2019-02-10 09:27:00,2
2019-02-10 09:28:00,2
2019-02-10 09:36:00,12
2019-02-10 09:37:00,2
2019-02-10 09:38:00,1
2019-02-10 09:41:00,10
2019-02-10 09:43:00,1
2019-02-10 09:44:00,3
2019-02-10 09:50:00,10
2019-02-10 09:51:00,2
2019-02-10 09:52:00,2
2019-02-10 09:59:00,10
2019-02-10 10:08:00,10
2019-02-10 10:12:00,10
2019-02-10 10:13:00,2
2019-02-10 10:17:00,10
2019-02-10 10:18:00,2
2019-02-10 10:19:00,2
2019-02-10 10:24:00,10
2019-02-10 10:32:00,10
2019-02-10 10:33:00,2
2019-02-10 10:34:00,4
2019-02-10 10:35:00,2
2019-02-10 10:41:00,10
2019-02-10 10:42:00,1
2019-02-10 10:43:00,3
2019-02-10 10:45:00,4
2019-02-10 10:46:00,1
