23,"SELECT TOP #  p.objid,p.ra,p.dec,p.u,p.g,p.r,p.i,p.z,  p.run, p.rerun, p.camcol, p.field,  s.specobjid, s.class, s.z as redshift,  s.plate, s.mjd, s.fiberid FROM PhotoObj AS p  JOIN SpecObj AS s ON s.bestobjid = p.objid WHERE   p.u BETWEEN # AND #  AND g BETWEEN # AND #"
2019-12-03 02:54:00,1
2019-12-03 04:46:00,1
2019-12-03 04:54:00,2
2019-12-03 06:07:00,1
2019-12-03 06:12:00,1
2019-12-03 06:13:00,1
2019-12-03 06:19:00,2
2019-12-03 06:20:00,1
2019-12-03 06:21:00,1
2019-12-03 06:57:00,1
2019-12-03 14:02:00,1
2019-12-03 14:48:00,2
2019-12-03 15:02:00,2
2019-12-03 15:03:00,1
2019-12-03 15:07:00,1
2019-12-03 15:08:00,1
2019-12-03 15:09:00,1
2019-12-03 15:16:00,1
2019-12-03 15:32:00,1
