19,select * from stellarMassFSPSGranWideDust where specObjId=#
2019-12-03 05:29:00,1
2019-12-03 06:20:00,1
2019-12-03 06:22:00,1
2019-12-03 07:52:00,1
2019-12-03 08:37:00,1
2019-12-03 10:05:00,1
2019-12-03 11:12:00,1
2019-12-03 11:58:00,1
2019-12-03 12:28:00,1
2019-12-03 13:54:00,1
2019-12-03 14:44:00,1
2019-12-03 15:25:00,1
2019-12-03 15:35:00,1
2019-12-03 15:49:00,1
2019-12-03 20:31:00,1
2019-12-03 22:09:00,1
2019-12-03 22:35:00,1
2019-12-03 23:47:00,1
2019-12-03 23:56:00,1
