126,"SELECT  p.objid,    p.run, p.rerun, p.camcol, p.field, p.obj,    p.type, p.ra, p.dec, p.u,p.g,p.r,p.i,p.z,    p.Err_u, p.Err_g, p.Err_r,p.Err_i,p.Err_z    FROM fGetNearbyObjEq(#,#,#) n JOIN PhotoPrimary p ON n.objID=p.objID"
2019-12-03 00:00:00,1
2019-12-03 00:05:00,1
2019-12-03 00:40:00,1
2019-12-03 00:42:00,1
2019-12-03 00:51:00,1
2019-12-03 01:01:00,1
2019-12-03 01:07:00,2
2019-12-03 01:08:00,1
2019-12-03 01:10:00,1
2019-12-03 01:30:00,1
2019-12-03 01:32:00,2
2019-12-03 01:33:00,1
2019-12-03 01:35:00,2
2019-12-03 01:38:00,1
2019-12-03 01:48:00,1
2019-12-03 02:03:00,1
2019-12-03 02:08:00,1
2019-12-03 02:17:00,1
2019-12-03 02:24:00,1
2019-12-03 02:53:00,1
2019-12-03 03:02:00,1
2019-12-03 03:04:00,1
2019-12-03 03:14:00,2
2019-12-03 03:22:00,2
2019-12-03 03:24:00,2
2019-12-03 04:08:00,1
2019-12-03 04:15:00,1
2019-12-03 04:16:00,2
2019-12-03 04:17:00,1
2019-12-03 04:19:00,1
2019-12-03 04:25:00,1
2019-12-03 04:28:00,1
2019-12-03 04:29:00,1
2019-12-03 11:48:00,2
2019-12-03 12:02:00,1
2019-12-03 12:03:00,1
2019-12-03 12:11:00,1
2019-12-03 12:12:00,1
2019-12-03 12:13:00,1
2019-12-03 12:16:00,1
2019-12-03 12:23:00,1
2019-12-03 15:08:00,1
2019-12-03 15:11:00,1
2019-12-03 15:12:00,1
2019-12-03 15:15:00,1
2019-12-03 15:19:00,1
2019-12-03 15:23:00,1
2019-12-03 15:24:00,1
2019-12-03 15:31:00,1
2019-12-03 15:54:00,1
2019-12-03 15:59:00,1
2019-12-03 16:01:00,1
2019-12-03 16:02:00,1
2019-12-03 16:12:00,1
2019-12-03 16:21:00,1
2019-12-03 16:25:00,1
2019-12-03 17:05:00,1
2019-12-03 17:10:00,1
2019-12-03 17:11:00,1
2019-12-03 17:32:00,1
2019-12-03 17:51:00,1
2019-12-03 17:55:00,1
2019-12-03 17:58:00,1
2019-12-03 17:59:00,1
2019-12-03 18:02:00,1
2019-12-03 18:04:00,1
2019-12-03 18:05:00,1
2019-12-03 18:08:00,1
2019-12-03 18:09:00,2
2019-12-03 18:10:00,2
2019-12-03 18:12:00,2
2019-12-03 18:13:00,1
2019-12-03 18:14:00,1
2019-12-03 20:16:00,1
2019-12-03 20:19:00,1
2019-12-03 21:03:00,1
2019-12-03 21:31:00,1
2019-12-03 21:34:00,1
2019-12-03 22:00:00,1
2019-12-03 22:01:00,1
2019-12-03 22:03:00,1
2019-12-03 22:23:00,1
2019-12-03 22:31:00,1
2019-12-03 22:39:00,1
2019-12-03 22:40:00,1
2019-12-03 22:50:00,1
2019-12-03 22:52:00,1
2019-12-03 23:10:00,4
2019-12-03 23:11:00,1
2019-12-03 23:21:00,1
2019-12-03 23:23:00,1
2019-12-03 23:27:00,1
2019-12-03 23:36:00,2
2019-12-03 23:38:00,2
2019-12-03 23:40:00,2
2019-12-03 23:43:00,1
2019-12-03 23:44:00,1
2019-12-03 23:45:00,1
2019-12-03 23:46:00,3
2019-12-03 23:47:00,1
2019-12-03 23:50:00,2
2019-12-03 23:51:00,1
2019-12-03 23:52:00,2
2019-12-03 23:59:00,2
