1579,"SELECT sp.objid,sp.ra,sp.dec, sp.class, sp.z as redshift, ISNULL(m.k,#) as k , sp.dered_r FROM SpecPhoto AS sp JOIN apogeeOBJECT AS m ON sp.dec = m.dec WHERE sp.z ># AND sp.z < # AND sp.class = GALAXY&&&"
2019-12-03 16:24:00,1
2019-12-03 16:25:00,15
2019-12-03 16:26:00,19
2019-12-03 16:27:00,27
2019-12-03 16:28:00,30
2019-12-03 16:29:00,29
2019-12-03 16:30:00,30
2019-12-03 16:31:00,30
2019-12-03 16:32:00,32
2019-12-03 16:33:00,74
2019-12-03 16:34:00,60
2019-12-03 16:35:00,36
2019-12-03 16:36:00,40
2019-12-03 16:37:00,39
2019-12-03 16:38:00,41
2019-12-03 16:39:00,26
2019-12-03 16:40:00,28
2019-12-03 16:41:00,71
2019-12-03 16:42:00,74
2019-12-03 16:43:00,17
2019-12-03 18:52:00,14
2019-12-03 18:53:00,24
2019-12-03 18:54:00,27
2019-12-03 18:55:00,24
2019-12-03 18:56:00,25
2019-12-03 18:57:00,27
2019-12-03 18:58:00,28
2019-12-03 18:59:00,26
2019-12-03 19:00:00,27
2019-12-03 19:01:00,29
2019-12-03 19:02:00,26
2019-12-03 19:03:00,26
2019-12-03 19:04:00,27
2019-12-03 19:05:00,25
2019-12-03 19:06:00,23
2019-12-03 19:07:00,24
2019-12-03 19:08:00,24
2019-12-03 19:09:00,24
2019-12-03 19:10:00,23
2019-12-03 19:11:00,23
2019-12-03 19:12:00,19
2019-12-03 19:13:00,20
2019-12-03 19:14:00,24
2019-12-03 19:15:00,27
2019-12-03 19:16:00,31
2019-12-03 19:17:00,30
2019-12-03 19:18:00,30
2019-12-03 19:19:00,30
2019-12-03 19:20:00,31
2019-12-03 19:21:00,32
2019-12-03 19:22:00,32
2019-12-03 19:23:00,31
2019-12-03 19:24:00,27
