21,"select p.objid as name, p.ra, p.dec from galaxy p, specobj s where p.objid=s.bestobjid and (p.z BETWEEN # AND #) and s.z BETWEEN # AND #"
2019-12-03 18:25:00,1
2019-12-03 19:30:00,1
2019-12-03 20:05:00,1
2019-12-03 21:15:00,1
2019-12-03 21:31:00,1
2019-12-03 21:36:00,1
2019-12-03 21:46:00,1
2019-12-03 22:19:00,1
2019-12-03 22:26:00,1
2019-12-03 22:34:00,1
2019-12-03 22:37:00,1
2019-12-03 22:41:00,1
2019-12-03 22:48:00,1
2019-12-03 22:52:00,1
2019-12-03 23:33:00,1
2019-12-03 23:36:00,1
2019-12-03 23:42:00,1
2019-12-03 23:47:00,1
2019-12-03 23:49:00,1
2019-12-03 23:51:00,1
2019-12-03 23:57:00,1
