1549,"SELECT p.ra, p.dec, p.psfmag_g, f.mjd_g, n.distance*# FROM fGetNearbyObjEq(#,#,#) n, PhotoPrimary p, Field f WHERE n.objID = p.objID and f.fieldID = p.fieldID"
2019-12-03 00:00:00,1
2019-12-03 00:01:00,1
2019-12-03 00:05:00,2
2019-12-03 00:06:00,1
2019-12-03 00:09:00,4
2019-12-03 00:34:00,6
2019-12-03 00:35:00,6
2019-12-03 00:36:00,12
2019-12-03 00:37:00,5
2019-12-03 00:39:00,5
2019-12-03 00:43:00,5
2019-12-03 00:46:00,6
2019-12-03 00:51:00,17
2019-12-03 00:55:00,5
2019-12-03 00:57:00,5
2019-12-03 00:59:00,23
2019-12-03 01:00:00,8
2019-12-03 01:01:00,10
2019-12-03 01:02:00,5
2019-12-03 01:05:00,5
2019-12-03 01:09:00,5
2019-12-03 01:11:00,7
2019-12-03 01:12:00,5
2019-12-03 01:13:00,5
2019-12-03 01:14:00,5
2019-12-03 01:16:00,5
2019-12-03 01:20:00,5
2019-12-03 01:29:00,4
2019-12-03 01:32:00,5
2019-12-03 01:33:00,10
2019-12-03 01:53:00,1
2019-12-03 01:54:00,11
2019-12-03 01:56:00,5
2019-12-03 01:57:00,5
2019-12-03 01:59:00,1
2019-12-03 02:00:00,16
2019-12-03 02:01:00,12
2019-12-03 02:02:00,4
2019-12-03 02:03:00,11
2019-12-03 02:05:00,4
2019-12-03 02:06:00,11
2019-12-03 02:07:00,15
2019-12-03 02:08:00,11
2019-12-03 02:10:00,5
2019-12-03 02:13:00,5
2019-12-03 02:16:00,10
2019-12-03 02:20:00,16
2019-12-03 02:21:00,5
2019-12-03 02:23:00,1
2019-12-03 02:24:00,15
2019-12-03 02:25:00,10
2019-12-03 02:26:00,11
2019-12-03 02:29:00,11
2019-12-03 02:31:00,5
2019-12-03 02:32:00,16
2019-12-03 02:33:00,21
2019-12-03 02:34:00,10
2019-12-03 02:35:00,21
2019-12-03 02:36:00,5
2019-12-03 02:37:00,11
2019-12-03 02:38:00,5
2019-12-03 02:40:00,11
2019-12-03 02:41:00,15
2019-12-03 02:42:00,1
2019-12-03 02:44:00,11
2019-12-03 02:46:00,12
2019-12-03 02:47:00,4
2019-12-03 02:50:00,5
2019-12-03 02:53:00,16
2019-12-03 02:55:00,16
2019-12-03 02:57:00,11
2019-12-03 02:58:00,3
2019-12-03 02:59:00,18
2019-12-03 03:00:00,16
2019-12-03 03:01:00,13
2019-12-03 03:02:00,7
2019-12-03 03:03:00,4
2019-12-03 03:08:00,5
2019-12-03 03:09:00,12
