15,"SELECT TOP # p.ra,p.dec,p.u,p.g,p.r,p.i,p.z, s.z as redshift FROM PhotoObj AS p JOIN SpecObj AS s ON s.bestobjid = p.objid WHERE s.class = &&&"
2019-12-03 13:49:00,1
2019-12-03 13:50:00,2
2019-12-03 13:51:00,1
2019-12-03 14:40:00,1
2019-12-03 14:41:00,1
2019-12-03 14:42:00,2
2019-12-03 14:43:00,1
2019-12-03 14:45:00,1
2019-12-03 15:15:00,1
2019-12-03 15:38:00,2
2019-12-03 15:45:00,1
2019-12-03 15:48:00,1
