13,"SELECT p.objId,p.ra,p.dec,p.petror9#_r, p.expAB_r,     p.dered_u as u, p.dered_g as g, p.dered_r as r, p.dered_i as i,      s.z, s.plate, s.mjd, s.fiberid,pz.absMagR as AMag  FROM galaxy AS p    JOIN SpecObj AS s ON s.bestobjid = p.objid    JOIN Photoz as pz ON pz.objiD = p.objiD WHERE p.petror9#_r > #   and p.ra between # and #   and s.z < #   and p.g < #"
2019-12-03 07:13:00,2
2019-12-03 07:14:00,1
2019-12-03 07:15:00,1
2019-12-03 08:01:00,1
2019-12-03 08:24:00,1
2019-12-03 08:25:00,1
2019-12-03 08:27:00,1
2019-12-03 08:29:00,1
2019-12-03 09:12:00,1
2019-12-03 09:13:00,1
2019-12-03 09:14:00,1
2019-12-03 10:11:00,1
