209,"SELECT DISTINCT p.ra, p.dec, p.objid, p.run, p.rerun, p.camcol, p.field FROM PhotoObjAll AS p WHERE ((p.ra between # and #) and (p.dec between # and #))"
2019-06-05 09:39:00,1
2019-06-05 09:40:00,1
2019-06-05 10:08:00,4
2019-06-05 10:09:00,3
2019-06-05 10:10:00,3
2019-06-05 10:11:00,3
2019-06-05 10:12:00,3
2019-06-05 10:13:00,3
2019-06-05 10:14:00,4
2019-06-05 10:15:00,3
2019-06-05 10:16:00,3
2019-06-05 10:17:00,4
2019-06-05 10:18:00,4
2019-06-05 10:19:00,4
2019-06-05 10:20:00,4
2019-06-05 10:21:00,3
2019-06-05 10:22:00,3
2019-06-05 10:23:00,3
2019-06-05 10:24:00,4
2019-06-05 10:47:00,2
2019-06-05 11:01:00,3
2019-06-05 11:05:00,1
2019-06-05 11:11:00,1
2019-06-05 11:13:00,1
2019-06-05 11:14:00,3
2019-06-05 11:15:00,2
2019-06-05 11:16:00,3
2019-06-05 11:17:00,3
2019-06-05 11:18:00,4
2019-06-05 11:19:00,3
2019-06-05 11:20:00,4
2019-06-05 11:21:00,4
2019-06-05 11:22:00,3
2019-06-05 11:23:00,3
2019-06-05 11:24:00,3
2019-06-05 11:25:00,4
2019-06-05 11:26:00,3
2019-06-05 11:27:00,4
2019-06-05 11:28:00,3
2019-06-05 11:29:00,3
2019-06-05 11:30:00,4
2019-06-05 11:31:00,3
2019-06-05 11:32:00,4
2019-06-05 11:33:00,5
2019-06-05 11:34:00,2
2019-06-05 11:36:00,1
2019-06-05 11:37:00,4
2019-06-05 11:40:00,2
2019-06-05 11:41:00,6
2019-06-05 11:42:00,5
2019-06-05 11:43:00,6
2019-06-05 11:44:00,5
2019-06-05 11:45:00,3
2019-06-05 11:46:00,4
2019-06-05 11:47:00,4
2019-06-05 11:48:00,3
2019-06-05 11:49:00,4
2019-06-05 11:50:00,3
2019-06-05 13:39:00,3
2019-06-05 13:40:00,1
2019-06-05 13:42:00,2
2019-06-05 13:47:00,4
2019-06-05 13:48:00,8
2019-06-05 18:33:00,1
2019-06-05 19:48:00,1
2019-06-05 23:31:00,1
