86,"select [enum], [name], [type], [length], [unit], [ucd], [description] from dbo.fDocColumns(&&&) ORDER BY [columnID]"
2019-06-05 00:10:00,1
2019-06-05 00:11:00,2
2019-06-05 00:13:00,2
2019-06-05 00:14:00,1
2019-06-05 00:15:00,3
2019-06-05 00:16:00,2
2019-06-05 00:56:00,1
2019-06-05 01:37:00,1
2019-06-05 01:38:00,1
2019-06-05 06:21:00,1
2019-06-05 06:37:00,1
2019-06-05 09:24:00,1
2019-06-05 09:30:00,1
2019-06-05 10:09:00,1
2019-06-05 10:27:00,2
2019-06-05 10:33:00,1
2019-06-05 10:34:00,1
2019-06-05 12:42:00,1
2019-06-05 13:14:00,1
2019-06-05 13:16:00,1
2019-06-05 13:44:00,1
2019-06-05 13:47:00,2
2019-06-05 13:48:00,1
2019-06-05 13:52:00,1
2019-06-05 13:59:00,1
2019-06-05 14:05:00,1
2019-06-05 14:09:00,4
2019-06-05 14:10:00,1
2019-06-05 14:11:00,3
2019-06-05 14:13:00,2
2019-06-05 14:19:00,1
2019-06-05 14:20:00,1
2019-06-05 14:42:00,1
2019-06-05 14:44:00,1
2019-06-05 14:55:00,1
2019-06-05 14:58:00,1
2019-06-05 15:01:00,1
2019-06-05 15:19:00,1
2019-06-05 15:42:00,1
2019-06-05 15:43:00,2
2019-06-05 15:44:00,4
2019-06-05 15:45:00,1
2019-06-05 15:58:00,1
2019-06-05 16:02:00,1
2019-06-05 16:58:00,1
2019-06-05 19:00:00,1
2019-06-05 19:21:00,1
2019-06-05 19:22:00,2
2019-06-05 19:23:00,1
2019-06-05 19:28:00,5
2019-06-05 19:29:00,4
2019-06-05 19:40:00,2
2019-06-05 19:42:00,2
2019-06-05 19:43:00,1
2019-06-05 20:06:00,1
2019-06-05 20:08:00,1
2019-06-05 20:37:00,1
2019-06-05 22:59:00,1
2019-06-05 23:42:00,1
