80,"select p.ObjID, p.ra, p.dec, p.u, p.Err_u, p.g, p.Err_g, p.r, p.Err_r, p.i,p.Err_i, p.z, p.Err_z from photoObj p, dbo.fGetNearbyObjEq(#,#,#) n where p.objID = n.objID AND p.type = #"
2019-06-05 02:07:00,1
2019-06-05 02:09:00,1
2019-06-05 02:17:00,1
2019-06-05 02:20:00,1
2019-06-05 02:28:00,1
2019-06-05 02:30:00,1
2019-06-05 02:39:00,1
2019-06-05 02:41:00,1
2019-06-05 02:43:00,1
2019-06-05 02:52:00,1
2019-06-05 03:00:00,1
2019-06-05 03:02:00,1
2019-06-05 03:54:00,1
2019-06-05 03:58:00,1
2019-06-05 04:03:00,1
2019-06-05 04:08:00,1
2019-06-05 04:10:00,1
2019-06-05 04:12:00,1
2019-06-05 04:14:00,1
2019-06-05 04:16:00,1
2019-06-05 04:18:00,1
2019-06-05 04:20:00,1
2019-06-05 04:22:00,1
2019-06-05 04:24:00,1
2019-06-05 04:26:00,1
2019-06-05 04:30:00,2
2019-06-05 04:32:00,1
2019-06-05 04:34:00,1
2019-06-05 04:36:00,1
2019-06-05 04:38:00,1
2019-06-05 04:40:00,1
2019-06-05 04:43:00,1
2019-06-05 04:44:00,1
2019-06-05 04:47:00,1
2019-06-05 04:49:00,1
2019-06-05 04:51:00,1
2019-06-05 04:53:00,1
2019-06-05 04:55:00,1
2019-06-05 04:57:00,1
2019-06-05 04:58:00,1
2019-06-05 04:59:00,1
2019-06-05 05:00:00,1
2019-06-05 05:01:00,1
2019-06-05 05:02:00,1
2019-06-05 05:09:00,1
2019-06-05 05:10:00,1
2019-06-05 05:11:00,1
2019-06-05 05:12:00,1
2019-06-05 05:14:00,1
2019-06-05 05:22:00,1
2019-06-05 05:26:00,1
2019-06-05 05:36:00,1
2019-06-05 05:40:00,1
2019-06-05 05:45:00,1
2019-06-05 05:49:00,1
2019-06-05 22:51:00,1
2019-06-05 22:53:00,1
2019-06-05 22:56:00,1
2019-06-05 22:58:00,1
2019-06-05 23:00:00,1
2019-06-05 23:02:00,1
2019-06-05 23:04:00,1
2019-06-05 23:07:00,1
2019-06-05 23:09:00,1
2019-06-05 23:11:00,1
2019-06-05 23:13:00,1
2019-06-05 23:15:00,1
2019-06-05 23:17:00,1
2019-06-05 23:20:00,1
2019-06-05 23:22:00,1
2019-06-05 23:24:00,1
2019-06-05 23:26:00,1
2019-06-05 23:28:00,1
2019-06-05 23:31:00,1
2019-06-05 23:32:00,1
2019-06-05 23:35:00,1
2019-06-05 23:37:00,1
2019-06-05 23:38:00,1
2019-06-05 23:41:00,1
