786,"select s.ObjID,s.class,s.subclass,s.z,s.zErr,s.type from SpecPhoto s, dbo.fGetNearbyObjEq(#,#,#) n where s.ObjID = n.ObjID AND s.mode = #"
2019-06-05 09:26:00,1
2019-06-05 09:28:00,1
2019-06-05 09:29:00,1
2019-06-05 09:30:00,2
2019-06-05 09:31:00,1
2019-06-05 09:33:00,1
2019-06-05 09:34:00,2
2019-06-05 09:36:00,2
2019-06-05 09:38:00,1
2019-06-05 09:39:00,1
2019-06-05 09:40:00,1
2019-06-05 09:41:00,1
2019-06-05 09:42:00,2
2019-06-05 09:43:00,2
2019-06-05 09:45:00,1
2019-06-05 09:46:00,1
2019-06-05 09:47:00,1
2019-06-05 09:48:00,2
2019-06-05 09:50:00,1
2019-06-05 09:51:00,1
2019-06-05 09:52:00,2
2019-06-05 09:53:00,2
2019-06-05 09:54:00,2
2019-06-05 09:55:00,2
2019-06-05 09:56:00,1
2019-06-05 09:57:00,2
2019-06-05 09:58:00,2
2019-06-05 09:59:00,2
2019-06-05 10:00:00,1
2019-06-05 10:02:00,3
2019-06-05 10:04:00,1
2019-06-05 10:05:00,1
2019-06-05 10:06:00,1
2019-06-05 10:07:00,1
2019-06-05 10:08:00,1
2019-06-05 10:09:00,2
2019-06-05 10:11:00,2
2019-06-05 10:13:00,2
2019-06-05 10:15:00,2
2019-06-05 10:16:00,1
2019-06-05 10:19:00,2
2019-06-05 10:22:00,1
2019-06-05 10:25:00,2
2019-06-05 10:28:00,1
2019-06-05 10:31:00,2
2019-06-05 10:34:00,1
2019-06-05 10:37:00,1
2019-06-05 10:39:00,1
2019-06-05 10:41:00,1
2019-06-05 10:43:00,1
2019-06-05 10:46:00,2
2019-06-05 10:49:00,1
2019-06-05 10:51:00,1
2019-06-05 10:53:00,1
2019-06-05 11:05:00,2
2019-06-05 11:09:00,1
2019-06-05 11:10:00,1
2019-06-05 11:11:00,1
2019-06-05 11:14:00,1
2019-06-05 11:16:00,1
2019-06-05 11:18:00,2
2019-06-05 11:19:00,2
2019-06-05 11:21:00,2
2019-06-05 11:23:00,2
2019-06-05 11:25:00,1
2019-06-05 11:26:00,2
2019-06-05 11:28:00,2
2019-06-05 11:29:00,1
2019-06-05 11:30:00,2
2019-06-05 11:31:00,2
2019-06-05 11:33:00,2
2019-06-05 11:35:00,2
2019-06-05 11:36:00,2
2019-06-05 11:38:00,2
2019-06-05 11:39:00,1
2019-06-05 11:40:00,2
2019-06-05 11:41:00,1
2019-06-05 11:42:00,2
2019-06-05 11:43:00,2
2019-06-05 11:45:00,2
2019-06-05 11:46:00,1
2019-06-05 11:47:00,1
2019-06-05 11:48:00,2
2019-06-05 11:49:00,1
2019-06-05 11:50:00,2
2019-06-05 11:52:00,2
2019-06-05 11:53:00,1
2019-06-05 11:54:00,1
2019-06-05 11:55:00,1
2019-06-05 11:57:00,1
2019-06-05 11:59:00,1
2019-06-05 12:01:00,2
2019-06-05 12:03:00,2
2019-06-05 12:06:00,1
2019-06-05 12:07:00,1
2019-06-05 12:09:00,1
2019-06-05 12:11:00,1
2019-06-05 12:14:00,1
2019-06-05 12:15:00,1
2019-06-05 12:16:00,1
2019-06-05 12:17:00,1
2019-06-05 12:18:00,1
2019-06-05 12:19:00,1
2019-06-05 12:21:00,1
2019-06-05 12:23:00,2
2019-06-05 12:25:00,1
2019-06-05 12:26:00,1
2019-06-05 12:27:00,1
2019-06-05 12:29:00,2
2019-06-05 12:30:00,1
2019-06-05 12:31:00,1
2019-06-05 12:32:00,2
2019-06-05 12:33:00,1
2019-06-05 12:34:00,1
2019-06-05 12:35:00,1
2019-06-05 12:36:00,1
2019-06-05 12:37:00,1
2019-06-05 12:38:00,1
2019-06-05 12:39:00,1
2019-06-05 12:40:00,1
2019-06-05 12:42:00,2
2019-06-05 12:43:00,1
2019-06-05 12:45:00,1
2019-06-05 12:46:00,1
2019-06-05 12:47:00,1
2019-06-05 12:48:00,1
2019-06-05 12:51:00,2
2019-06-05 12:55:00,2
2019-06-05 12:58:00,1
2019-06-05 13:01:00,2
2019-06-05 13:05:00,1
2019-06-05 13:06:00,1
2019-06-05 13:09:00,1
2019-06-05 13:18:00,1
2019-06-05 13:21:00,2
2019-06-05 13:25:00,1
2019-06-05 13:26:00,1
2019-06-05 13:27:00,2
2019-06-05 13:28:00,2
2019-06-05 13:29:00,1
2019-06-05 13:30:00,2
2019-06-05 13:31:00,2
2019-06-05 13:32:00,1
2019-06-05 13:33:00,2
2019-06-05 13:34:00,1
2019-06-05 13:36:00,1
2019-06-05 13:37:00,1
2019-06-05 13:38:00,1
2019-06-05 13:39:00,2
2019-06-05 13:41:00,2
2019-06-05 13:43:00,2
2019-06-05 13:44:00,1
2019-06-05 13:45:00,1
2019-06-05 13:46:00,2
2019-06-05 13:48:00,1
2019-06-05 13:49:00,1
2019-06-05 13:50:00,2
2019-06-05 13:52:00,1
2019-06-05 13:54:00,1
2019-06-05 13:55:00,1
2019-06-05 13:59:00,1
2019-06-05 14:02:00,1
2019-06-05 14:05:00,1
2019-06-05 14:09:00,1
2019-06-05 14:12:00,2
2019-06-05 14:16:00,2
2019-06-05 14:19:00,1
2019-06-05 14:22:00,2
2019-06-05 14:25:00,1
2019-06-05 14:27:00,1
2019-06-05 14:29:00,1
2019-06-05 14:32:00,1
2019-06-05 14:34:00,1
2019-06-05 14:36:00,1
2019-06-05 14:38:00,1
2019-06-05 14:40:00,1
2019-06-05 14:42:00,1
2019-06-05 14:44:00,1
2019-06-05 14:46:00,2
2019-06-05 14:49:00,1
2019-06-05 14:52:00,1
2019-06-05 14:54:00,1
2019-06-05 14:58:00,1
2019-06-05 15:00:00,1
2019-06-05 15:04:00,1
2019-06-05 15:08:00,1
2019-06-05 15:11:00,1
2019-06-05 15:13:00,1
2019-06-05 15:16:00,1
2019-06-05 15:19:00,1
2019-06-05 15:22:00,2
2019-06-05 15:26:00,1
2019-06-05 15:29:00,1
2019-06-05 15:31:00,1
2019-06-05 15:34:00,1
2019-06-05 15:36:00,1
2019-06-05 15:39:00,2
2019-06-05 15:42:00,1
2019-06-05 15:45:00,1
2019-06-05 15:47:00,1
2019-06-05 15:48:00,1
2019-06-05 15:52:00,1
2019-06-05 15:55:00,2
2019-06-05 15:58:00,1
2019-06-05 15:59:00,1
2019-06-05 16:02:00,1
2019-06-05 16:05:00,1
2019-06-05 16:07:00,1
2019-06-05 16:10:00,1
2019-06-05 16:12:00,1
2019-06-05 16:15:00,1
2019-06-05 16:18:00,1
2019-06-05 16:20:00,1
2019-06-05 16:23:00,1
2019-06-05 16:25:00,1
2019-06-05 16:28:00,1
2019-06-05 16:31:00,1
2019-06-05 16:33:00,1
2019-06-05 16:36:00,1
2019-06-05 16:37:00,1
2019-06-05 16:41:00,1
2019-06-05 16:43:00,1
2019-06-05 16:46:00,1
2019-06-05 16:49:00,1
2019-06-05 16:50:00,1
2019-06-05 16:53:00,1
2019-06-05 16:54:00,1
2019-06-05 16:55:00,1
2019-06-05 16:56:00,1
2019-06-05 16:57:00,1
2019-06-05 16:58:00,2
2019-06-05 16:59:00,2
2019-06-05 17:01:00,2
2019-06-05 17:02:00,2
2019-06-05 17:04:00,2
2019-06-05 17:06:00,3
2019-06-05 17:07:00,1
2019-06-05 17:08:00,1
2019-06-05 17:09:00,2
2019-06-05 17:11:00,2
2019-06-05 17:12:00,2
2019-06-05 17:13:00,2
2019-06-05 17:16:00,2
2019-06-05 17:17:00,1
2019-06-05 17:20:00,3
2019-06-05 17:23:00,2
2019-06-05 17:25:00,2
2019-06-05 17:26:00,2
2019-06-05 17:27:00,1
2019-06-05 17:28:00,3
2019-06-05 17:30:00,1
2019-06-05 17:31:00,2
2019-06-05 17:32:00,1
2019-06-05 17:33:00,2
2019-06-05 17:34:00,1
2019-06-05 17:35:00,1
2019-06-05 17:36:00,1
2019-06-05 17:37:00,1
2019-06-05 17:38:00,3
2019-06-05 17:40:00,1
2019-06-05 17:41:00,1
2019-06-05 17:43:00,1
2019-06-05 17:44:00,1
2019-06-05 17:46:00,1
2019-06-05 17:47:00,2
2019-06-05 17:48:00,1
2019-06-05 17:49:00,2
2019-06-05 17:50:00,1
2019-06-05 17:51:00,2
2019-06-05 17:52:00,2
2019-06-05 17:54:00,2
2019-06-05 17:55:00,2
2019-06-05 17:56:00,2
2019-06-05 17:57:00,2
2019-06-05 17:58:00,2
2019-06-05 18:01:00,2
2019-06-05 18:02:00,1
2019-06-05 18:04:00,2
2019-06-05 18:05:00,1
2019-06-05 18:06:00,2
2019-06-05 18:08:00,1
2019-06-05 18:09:00,1
2019-06-05 18:11:00,2
2019-06-05 18:12:00,1
2019-06-05 18:13:00,1
2019-06-05 18:15:00,1
2019-06-05 18:16:00,1
2019-06-05 18:17:00,1
2019-06-05 18:19:00,2
2019-06-05 18:20:00,2
2019-06-05 18:22:00,2
2019-06-05 18:23:00,2
2019-06-05 18:24:00,2
2019-06-05 18:26:00,1
2019-06-05 18:27:00,2
2019-06-05 18:32:00,1
2019-06-05 18:33:00,1
2019-06-05 18:38:00,2
2019-06-05 18:43:00,1
2019-06-05 18:45:00,1
2019-06-05 18:52:00,1
2019-06-05 18:54:00,1
2019-06-05 18:57:00,2
2019-06-05 19:03:00,1
2019-06-05 19:06:00,1
2019-06-05 19:09:00,2
2019-06-05 19:14:00,2
2019-06-05 19:18:00,2
2019-06-05 19:22:00,1
2019-06-05 19:26:00,1
2019-06-05 19:34:00,1
2019-06-05 19:40:00,1
2019-06-05 19:46:00,1
2019-06-05 19:53:00,1
2019-06-05 20:01:00,1
2019-06-05 20:02:00,1
2019-06-05 20:09:00,1
2019-06-05 20:18:00,1
2019-06-05 20:23:00,1
2019-06-05 20:24:00,1
2019-06-05 20:32:00,1
2019-06-05 20:40:00,1
2019-06-05 20:46:00,1
2019-06-05 20:52:00,1
2019-06-05 20:53:00,1
2019-06-05 21:02:00,1
2019-06-05 21:10:00,1
2019-06-05 21:17:00,1
2019-06-05 21:22:00,1
2019-06-05 21:29:00,1
2019-06-05 21:36:00,1
2019-06-05 21:37:00,1
2019-06-05 21:44:00,1
2019-06-05 21:51:00,1
2019-06-05 21:52:00,1
2019-06-05 21:53:00,2
2019-06-05 21:55:00,1
2019-06-05 21:56:00,2
2019-06-05 21:58:00,2
2019-06-05 21:59:00,1
2019-06-05 22:00:00,2
2019-06-05 22:02:00,2
2019-06-05 22:03:00,1
2019-06-05 22:04:00,1
2019-06-05 22:05:00,1
2019-06-05 22:06:00,2
2019-06-05 22:07:00,2
2019-06-05 22:08:00,2
2019-06-05 22:10:00,2
2019-06-05 22:11:00,1
2019-06-05 22:12:00,1
2019-06-05 22:13:00,1
2019-06-05 22:14:00,1
2019-06-05 22:15:00,2
2019-06-05 22:17:00,2
2019-06-05 22:19:00,2
2019-06-05 22:24:00,2
2019-06-05 22:28:00,1
2019-06-05 22:29:00,1
2019-06-05 22:31:00,1
2019-06-05 22:32:00,1
2019-06-05 22:33:00,2
2019-06-05 22:34:00,1
2019-06-05 22:40:00,1
2019-06-05 22:46:00,1
2019-06-05 22:51:00,1
2019-06-05 22:55:00,1
2019-06-05 23:00:00,1
2019-06-05 23:06:00,1
2019-06-05 23:10:00,1
2019-06-05 23:15:00,1
2019-06-05 23:20:00,1
2019-06-05 23:25:00,1
2019-06-05 23:31:00,1
2019-06-05 23:35:00,1
2019-06-05 23:40:00,1
2019-06-05 23:44:00,2
2019-06-05 23:47:00,2
2019-06-05 23:51:00,2
2019-06-05 23:53:00,2
2019-06-05 23:56:00,1
2019-06-05 23:57:00,2
2019-06-05 23:59:00,2
