3502,"select P.objID, P.ra, P.dec , P.u, P.g, P.r, P.i, P.z, P.type from PhotoPrimary as P , dbo.fGetNearbyObjEq(#, #, # ) N where P.objID = N.objID"
2019-06-05 11:22:00,5
2019-06-05 11:24:00,1
2019-06-05 11:51:00,1
2019-06-05 12:28:00,1
2019-06-05 12:31:00,1
2019-06-05 12:36:00,5
2019-06-05 12:37:00,11
2019-06-05 12:38:00,10
2019-06-05 12:39:00,9
2019-06-05 12:40:00,11
2019-06-05 12:41:00,9
2019-06-05 12:42:00,10
2019-06-05 12:43:00,10
2019-06-05 12:44:00,9
2019-06-05 12:45:00,9
2019-06-05 12:46:00,10
2019-06-05 12:47:00,10
2019-06-05 12:48:00,7
2019-06-05 12:49:00,7
2019-06-05 12:50:00,7
2019-06-05 12:51:00,6
2019-06-05 12:52:00,9
2019-06-05 12:53:00,10
2019-06-05 12:54:00,4
2019-06-05 12:55:00,5
2019-06-05 12:56:00,3
2019-06-05 12:57:00,6
2019-06-05 12:58:00,2
2019-06-05 13:31:00,2
2019-06-05 13:32:00,8
2019-06-05 13:33:00,7
2019-06-05 13:34:00,7
2019-06-05 13:35:00,7
2019-06-05 13:36:00,8
2019-06-05 13:37:00,7
2019-06-05 13:38:00,6
2019-06-05 13:39:00,3
2019-06-05 13:40:00,3
2019-06-05 13:41:00,2
2019-06-05 13:42:00,1
2019-06-05 13:43:00,1
2019-06-05 13:44:00,2
2019-06-05 13:45:00,1
2019-06-05 13:46:00,3
2019-06-05 13:47:00,9
2019-06-05 13:48:00,7
2019-06-05 13:49:00,3
2019-06-05 13:50:00,4
2019-06-05 13:51:00,2
2019-06-05 13:52:00,1
2019-06-05 13:53:00,1
2019-06-05 13:54:00,1
2019-06-05 13:55:00,2
2019-06-05 13:57:00,8
2019-06-05 13:58:00,8
2019-06-05 13:59:00,11
2019-06-05 14:00:00,15
2019-06-05 14:01:00,15
2019-06-05 14:02:00,16
2019-06-05 14:03:00,12
2019-06-05 14:04:00,12
2019-06-05 14:05:00,10
2019-06-05 14:06:00,9
2019-06-05 14:07:00,9
2019-06-05 14:08:00,8
2019-06-05 14:09:00,8
2019-06-05 14:10:00,8
2019-06-05 14:11:00,14
2019-06-05 14:12:00,16
2019-06-05 14:13:00,12
2019-06-05 14:14:00,11
2019-06-05 14:15:00,9
2019-06-05 14:16:00,6
2019-06-05 14:17:00,7
2019-06-05 14:18:00,6
2019-06-05 14:19:00,7
2019-06-05 14:20:00,9
2019-06-05 14:21:00,13
2019-06-05 14:22:00,14
2019-06-05 14:23:00,7
2019-06-05 14:24:00,7
2019-06-05 14:25:00,6
2019-06-05 14:26:00,8
2019-06-05 14:27:00,7
2019-06-05 14:28:00,7
2019-06-05 14:29:00,8
2019-06-05 14:30:00,6
2019-06-05 14:31:00,5
2019-06-05 14:32:00,7
2019-06-05 14:33:00,6
2019-06-05 14:34:00,3
2019-06-05 14:35:00,5
2019-06-05 14:36:00,7
2019-06-05 14:37:00,7
2019-06-05 14:38:00,7
2019-06-05 14:39:00,3
2019-06-05 14:40:00,8
2019-06-05 14:41:00,6
2019-06-05 14:42:00,6
2019-06-05 14:43:00,7
2019-06-05 14:44:00,4
2019-06-05 14:45:00,7
2019-06-05 14:46:00,7
2019-06-05 14:47:00,8
2019-06-05 14:48:00,8
2019-06-05 14:49:00,7
2019-06-05 14:50:00,8
2019-06-05 14:51:00,4
2019-06-05 14:52:00,4
2019-06-05 14:53:00,3
2019-06-05 14:54:00,9
2019-06-05 14:55:00,8
2019-06-05 14:56:00,3
2019-06-05 14:57:00,3
2019-06-05 14:58:00,5
2019-06-05 14:59:00,7
2019-06-05 15:00:00,5
2019-06-05 15:01:00,3
2019-06-05 15:02:00,3
2019-06-05 15:03:00,5
2019-06-05 15:04:00,4
2019-06-05 15:05:00,5
2019-06-05 15:06:00,7
2019-06-05 15:07:00,8
2019-06-05 15:08:00,6
2019-06-05 15:09:00,2
2019-06-05 15:10:00,2
2019-06-05 15:11:00,3
2019-06-05 15:12:00,7
2019-06-05 15:13:00,7
2019-06-05 15:14:00,5
2019-06-05 15:15:00,7
2019-06-05 15:16:00,7
2019-06-05 15:17:00,7
