3,"SELECT DISTINCT p.ra, p.dec, p.run, p.rerun, p.camcol, p.field, p.mjd FROM PhotoObjAll AS p WHERE ((p.ra between # and #) and (p.dec between # and #))"
2019-06-05 16:34:00,1
2019-06-05 17:58:00,1
2019-06-05 23:29:00,1
