72,"SELECT p.objid,p.ra,p.dec,p.u,p.g,p.r,p.i,p.z,p.type, p.run, p.rerun, p.camcol, p.field, s.specobjid, s.class, s.z as redshift, s.plate, s.mjd, s.fiberid,GN.distance, dbo.fCosmoDA(s.z,#, #,#e-#,#,#)*GN.distance*#/#/# as rho, ms.mstellar_median as logMass,ms.mstellar_err as logMass_err FROM PhotoObj AS p JOIN SpecObj AS s ON s.bestobjid = p.objid JOIN dbo.fGetNearbyObjEq(#, #, #) AS GN ON p.objID = GN.objID JOIN stellarMassPCAWiscM1# as ms ON s.specobjid=ms.specobjid WHERE ms.mstellar_median>#"
2019-11-01 00:00:00,1
2019-11-01 00:02:00,1
2019-11-01 00:04:00,1
2019-11-01 00:08:00,1
2019-11-01 00:09:00,1
2019-11-01 00:10:00,1
2019-11-01 00:11:00,1
2019-11-01 00:14:00,1
2019-11-01 00:15:00,1
2019-11-01 00:16:00,2
2019-11-01 00:17:00,1
2019-11-01 00:18:00,2
2019-11-01 00:20:00,2
2019-11-01 00:21:00,1
2019-11-01 00:22:00,1
2019-11-01 00:23:00,1
2019-11-01 00:24:00,1
2019-11-01 00:25:00,1
2019-11-01 00:26:00,1
2019-11-01 00:27:00,1
2019-11-01 00:29:00,1
2019-11-01 00:31:00,1
2019-11-01 00:33:00,1
2019-11-01 00:35:00,1
2019-11-01 00:37:00,2
2019-11-01 00:43:00,1
2019-11-01 00:44:00,1
2019-11-01 00:45:00,2
2019-11-01 00:46:00,2
2019-11-01 00:47:00,1
2019-11-01 00:49:00,1
2019-11-01 00:50:00,1
2019-11-01 00:51:00,1
2019-11-01 00:52:00,1
2019-11-01 00:53:00,1
2019-11-01 00:54:00,1
2019-11-01 00:56:00,1
2019-11-01 01:00:00,1
2019-11-01 01:06:00,1
2019-11-01 01:07:00,1
2019-11-01 01:08:00,1
2019-11-01 01:09:00,1
2019-11-01 01:10:00,1
2019-11-01 01:11:00,2
2019-11-01 01:12:00,2
2019-11-01 01:14:00,1
2019-11-01 01:16:00,2
2019-11-01 01:19:00,1
2019-11-01 01:20:00,2
2019-11-01 01:21:00,1
2019-11-01 01:23:00,1
2019-11-01 01:24:00,1
2019-11-01 01:25:00,1
2019-11-01 01:27:00,1
2019-11-01 01:29:00,1
2019-11-01 01:30:00,1
2019-11-01 01:31:00,1
2019-11-01 01:33:00,1
2019-11-01 01:36:00,1
2019-11-01 01:39:00,1
2019-11-01 01:40:00,1
2019-11-01 01:43:00,1
