3494,"SELECT DISTINCT p.ra, p.dec, p.clean, p.u, p.g, p.r, p.i, p.z FROM PhotoObjAll AS p WHERE ((p.ra between # and #) and (p.dec between # and #))"
2019-11-01 12:33:00,69
2019-11-01 12:34:00,7
2019-11-01 12:35:00,316
2019-11-01 12:36:00,24
2019-11-01 12:37:00,5
2019-11-01 12:38:00,95
2019-11-01 12:39:00,483
2019-11-01 12:40:00,260
2019-11-01 12:41:00,158
2019-11-01 12:42:00,204
2019-11-01 12:43:00,296
2019-11-01 12:45:00,78
2019-11-01 12:46:00,177
2019-11-01 12:47:00,57
2019-11-01 12:51:00,105
2019-11-01 12:52:00,85
2019-11-01 12:53:00,89
2019-11-01 12:54:00,264
2019-11-01 12:55:00,55
2019-11-01 12:56:00,138
2019-11-01 12:59:00,287
2019-11-01 13:00:00,48
2019-11-01 13:02:00,105
2019-11-01 13:04:00,89
