3,"select top # p.objid, p.u, p.g, p.r, p.i, p.z, s.z as redshift, s.specobjid, s.plate, s.mjd, s.fiberid from photoobj p, specobj s where p.objid=s.bestobjid and p.g < #  and p.r < #  and (s.class = &&&)"
2019-11-01 15:50:00,1
2019-11-01 15:55:00,2
