452,select * from sqllogall2#_#_#h_to_#_#h where mm = # and dd = # and hh = #
2019-11-01 12:20:00,10
2019-11-01 12:21:00,37
2019-11-01 12:22:00,33
2019-11-01 12:23:00,19
2019-11-01 12:24:00,9
2019-11-01 12:25:00,11
2019-11-01 12:26:00,8
2019-11-01 12:27:00,8
2019-11-01 12:28:00,8
2019-11-01 12:29:00,7
2019-11-01 12:30:00,6
2019-11-01 12:31:00,6
2019-11-01 12:32:00,5
2019-11-01 12:33:00,1
2019-11-01 13:16:00,1
2019-11-01 13:17:00,9
2019-11-01 13:18:00,7
2019-11-01 13:19:00,5
2019-11-01 13:20:00,6
2019-11-01 13:21:00,5
2019-11-01 13:22:00,5
2019-11-01 13:23:00,4
2019-11-01 13:24:00,9
2019-11-01 13:25:00,9
2019-11-01 13:26:00,8
2019-11-01 13:27:00,8
2019-11-01 13:28:00,8
2019-11-01 13:29:00,8
2019-11-01 13:30:00,9
2019-11-01 13:31:00,7
2019-11-01 13:32:00,9
2019-11-01 13:33:00,8
2019-11-01 13:34:00,8
2019-11-01 13:35:00,8
2019-11-01 13:36:00,1
2019-11-01 15:00:00,8
2019-11-01 15:01:00,6
2019-11-01 15:02:00,6
2019-11-01 15:03:00,5
2019-11-01 15:04:00,7
2019-11-01 15:05:00,4
2019-11-01 15:06:00,4
2019-11-01 15:07:00,7
2019-11-01 15:08:00,8
2019-11-01 15:09:00,9
2019-11-01 15:10:00,8
2019-11-01 15:11:00,8
2019-11-01 15:12:00,8
2019-11-01 15:13:00,9
2019-11-01 15:14:00,7
2019-11-01 15:15:00,8
2019-11-01 15:16:00,7
2019-11-01 15:17:00,1
2019-11-01 16:37:00,22
