373,"SELECT p.objid, p.type, p.clean, p.ra, p.dec, p.raErr, p.decErr, p.psfMag_u,p.psfMag_g,p.psfMag_r,p.psfMag_i,p.psfMag_z, p.psfMagErr_u,p.psfMagErr_g,p.psfMagErr_r,p.psfMagErr_i,p.psfMagErr_z, p.petroR5#_u,p.petroR5#_g,p.petroR5#_r,p.petroR5#_i,p.petroR5#_z, p.psffwhm_u, p.psffwhm_g, p.psffwhm_r, p.psffwhm_i, p.psffwhm_z, p.modelMagErr_u,p.modelMagErr_g,p.modelMagErr_r,p.modelMagErr_i,p.modelMagErr_z, p.modelMag_u, p.modelMag_g, p.modelMag_r, p.modelMag_i, p.modelMag_z, pz.z, pz.zErr FROM PhotoObj AS p , dbo.fGetNearbyObjEq(#, #, #) AS n LEFT JOIN Photoz AS pz ON pz.objID = n.objID WHERE n.objID = p.objID"
2019-11-01 15:37:00,3
2019-11-01 15:38:00,3
2019-11-01 15:39:00,4
2019-11-01 15:40:00,5
2019-11-01 15:41:00,4
2019-11-01 15:42:00,5
2019-11-01 15:43:00,4
2019-11-01 15:44:00,2
2019-11-01 15:45:00,5
2019-11-01 15:46:00,4
2019-11-01 15:47:00,4
2019-11-01 15:48:00,4
2019-11-01 15:49:00,4
2019-11-01 15:50:00,4
2019-11-01 15:51:00,4
2019-11-01 15:52:00,4
2019-11-01 15:53:00,4
2019-11-01 15:54:00,4
2019-11-01 15:55:00,3
2019-11-01 15:56:00,4
2019-11-01 15:57:00,5
2019-11-01 15:58:00,4
2019-11-01 15:59:00,4
2019-11-01 16:00:00,3
2019-11-01 16:01:00,4
2019-11-01 16:02:00,4
2019-11-01 16:03:00,3
2019-11-01 16:04:00,3
2019-11-01 16:05:00,4
2019-11-01 16:06:00,3
2019-11-01 16:07:00,4
2019-11-01 16:08:00,4
2019-11-01 16:09:00,4
2019-11-01 16:10:00,5
2019-11-01 16:11:00,4
2019-11-01 16:12:00,4
2019-11-01 16:13:00,4
2019-11-01 16:14:00,4
2019-11-01 16:15:00,5
2019-11-01 16:16:00,4
2019-11-01 16:17:00,3
2019-11-01 16:18:00,2
2019-11-01 16:19:00,4
2019-11-01 16:20:00,3
2019-11-01 16:21:00,3
2019-11-01 16:22:00,3
2019-11-01 18:44:00,1
2019-11-01 18:45:00,3
2019-11-01 18:46:00,4
2019-11-01 18:47:00,4
2019-11-01 18:48:00,4
2019-11-01 18:49:00,4
2019-11-01 18:50:00,4
2019-11-01 18:51:00,3
2019-11-01 18:52:00,5
2019-11-01 18:53:00,1
2019-11-01 18:54:00,5
2019-11-01 18:55:00,4
2019-11-01 18:56:00,3
2019-11-01 18:57:00,4
2019-11-01 18:58:00,4
2019-11-01 18:59:00,4
2019-11-01 19:00:00,3
2019-11-01 19:01:00,4
2019-11-01 19:02:00,4
2019-11-01 19:03:00,4
2019-11-01 19:04:00,4
2019-11-01 19:05:00,4
2019-11-01 19:06:00,4
2019-11-01 19:07:00,4
2019-11-01 19:08:00,4
2019-11-01 19:09:00,4
2019-11-01 19:10:00,5
2019-11-01 19:11:00,3
2019-11-01 19:12:00,4
2019-11-01 19:13:00,4
2019-11-01 19:14:00,5
2019-11-01 19:15:00,4
2019-11-01 19:16:00,4
2019-11-01 19:17:00,2
2019-11-01 19:18:00,5
2019-11-01 19:19:00,4
2019-11-01 19:20:00,4
2019-11-01 19:21:00,4
2019-11-01 19:22:00,4
2019-11-01 19:23:00,4
2019-11-01 19:24:00,4
2019-11-01 19:25:00,4
2019-11-01 19:26:00,5
2019-11-01 19:27:00,4
2019-11-01 19:28:00,4
2019-11-01 19:29:00,4
2019-11-01 19:30:00,4
2019-11-01 19:31:00,4
2019-11-01 19:32:00,2
2019-11-01 20:07:00,2
2019-11-01 20:08:00,1
2019-11-01 20:09:00,1
2019-11-01 20:10:00,3
2019-11-01 20:11:00,2
2019-11-01 20:12:00,2
