678,"SELECT p.ra , p.dec, p.u, p.g, p.r, p.i, p.z, p.err_u, p.err_g, p.err_r, p.err_i, p.err_z, p.nMgyPerCount_u, p.nMgyPerCount_g, p.nMgyPerCount_r, p.nMgyPerCount_i, p.nMgyPerCount_z FROM PhotoObjAll p WHERE (p.ra BETWEEN # AND #) AND (p.dec BETWEEN # AND #) AND p.run = # AND p.rerun = # AND p.camcol = # AND p.field = #"
2019-11-01 10:51:00,1
2019-11-01 10:53:00,8
2019-11-01 10:54:00,4
2019-11-01 10:55:00,10
2019-11-01 10:57:00,10
2019-11-01 10:59:00,4
2019-11-01 11:00:00,6
2019-11-01 11:02:00,10
2019-11-01 12:32:00,10
2019-11-01 12:34:00,10
2019-11-01 12:36:00,6
2019-11-01 12:37:00,4
2019-11-01 12:39:00,10
2019-11-01 12:51:00,2
2019-11-01 12:52:00,9
2019-11-01 12:54:00,10
2019-11-01 12:56:00,10
2019-11-01 12:58:00,2
2019-11-01 12:59:00,8
2019-11-01 13:49:00,1
2019-11-01 13:51:00,4
2019-11-01 13:53:00,5
2019-11-01 14:02:00,5
2019-11-01 14:07:00,5
2019-11-01 14:11:00,2
2019-11-01 14:12:00,8
2019-11-01 14:19:00,10
2019-11-01 14:24:00,1
2019-11-01 14:25:00,9
2019-11-01 14:32:00,5
2019-11-01 14:33:00,10
2019-11-01 14:37:00,6
2019-11-01 14:38:00,4
2019-11-01 14:40:00,9
2019-11-01 14:41:00,1
2019-11-01 14:45:00,5
2019-11-01 14:46:00,9
2019-11-01 14:47:00,1
2019-11-01 14:50:00,10
2019-11-01 14:53:00,10
2019-11-01 14:59:00,6
2019-11-01 15:00:00,4
2019-11-01 15:05:00,4
2019-11-01 15:06:00,6
2019-11-01 15:13:00,10
2019-11-01 15:18:00,10
2019-11-01 15:21:00,10
2019-11-01 15:26:00,5
2019-11-01 15:27:00,5
2019-11-01 15:32:00,10
2019-11-01 15:38:00,10
2019-11-01 15:41:00,4
2019-11-01 15:46:00,10
2019-11-01 15:51:00,1
2019-11-01 15:52:00,9
2019-11-01 15:57:00,6
2019-11-01 15:59:00,4
2019-11-01 16:02:00,4
2019-11-01 16:03:00,8
2019-11-01 16:04:00,2
2019-11-01 16:06:00,5
2019-11-01 16:12:00,10
2019-11-01 16:18:00,10
2019-11-01 16:24:00,10
2019-11-01 16:27:00,10
2019-11-01 16:33:00,10
2019-11-01 16:38:00,10
2019-11-01 16:43:00,8
2019-11-01 16:44:00,2
2019-11-01 16:49:00,10
2019-11-01 16:54:00,10
2019-11-01 17:00:00,10
2019-11-01 17:05:00,10
2019-11-01 17:11:00,10
2019-11-01 17:14:00,3
2019-11-01 17:16:00,3
2019-11-01 17:18:00,3
2019-11-01 17:22:00,7
2019-11-01 17:23:00,5
2019-11-01 17:26:00,2
2019-11-01 17:27:00,2
2019-11-01 17:28:00,12
2019-11-01 17:29:00,2
2019-11-01 17:34:00,10
2019-11-01 17:37:00,10
2019-11-01 17:43:00,6
2019-11-01 17:44:00,4
2019-11-01 17:46:00,10
2019-11-01 17:50:00,4
2019-11-01 17:51:00,2
2019-11-01 17:56:00,10
2019-11-01 17:58:00,10
2019-11-01 18:01:00,10
2019-11-01 18:03:00,3
2019-11-01 18:04:00,7
2019-11-01 18:09:00,2
2019-11-01 18:10:00,8
2019-11-01 18:15:00,10
2019-11-01 18:18:00,5
2019-11-01 18:19:00,1
2019-11-01 18:23:00,10
2019-11-01 18:29:00,10
