5,"select p.objid, p.u, p.g, p.r, p.i, p.z from star p, dbo.fgetNearByObjEq(#,#,#) n where p.objid=n.objid and p.g < #  and p.r < #"
2019-11-01 16:22:00,1
2019-11-01 16:23:00,1
2019-11-01 16:24:00,2
2019-11-01 16:25:00,1
