529,"select psf2GSigma1_u, psf2GSigma1_g, psf2GSigma1_r, psf2GSigma1_i, psf2GSigma1_z, psf2GSigma2_u, psf2GSigma2_g, psf2GSigma2_r, psf2GSigma2_i, psf2GSigma2_z, psf2GB_u, psf2GB_g,psf2GB_r, psf2GB_i, psf2GB_z, psfWidth_u, psfWidth_g, psfWidth_r, psfWidth_i, psfWidth_z from Field where run = # and rerun = # and camcol = # and field = #"
2019-11-01 13:53:00,4
2019-11-01 14:02:00,4
2019-11-01 14:07:00,4
2019-11-01 14:11:00,10
2019-11-01 14:18:00,5
2019-11-01 14:19:00,5
2019-11-01 14:24:00,10
2019-11-01 14:32:00,4
2019-11-01 14:33:00,10
2019-11-01 14:37:00,10
2019-11-01 14:40:00,10
2019-11-01 14:45:00,4
2019-11-01 14:46:00,10
2019-11-01 14:50:00,10
2019-11-01 14:53:00,10
2019-11-01 14:59:00,10
2019-11-01 15:05:00,10
2019-11-01 15:12:00,10
2019-11-01 15:18:00,10
2019-11-01 15:20:00,10
2019-11-01 15:26:00,10
2019-11-01 15:32:00,10
2019-11-01 15:38:00,10
2019-11-01 15:41:00,4
2019-11-01 15:46:00,10
2019-11-01 15:51:00,10
2019-11-01 15:56:00,6
2019-11-01 15:59:00,4
2019-11-01 16:02:00,4
2019-11-01 16:03:00,10
2019-11-01 16:06:00,10
2019-11-01 16:12:00,10
2019-11-01 16:18:00,10
2019-11-01 16:24:00,10
2019-11-01 16:26:00,10
2019-11-01 16:32:00,6
2019-11-01 16:33:00,4
2019-11-01 16:37:00,1
2019-11-01 16:38:00,9
2019-11-01 16:43:00,10
2019-11-01 16:48:00,2
2019-11-01 16:49:00,8
2019-11-01 16:54:00,10
2019-11-01 16:59:00,10
2019-11-01 17:05:00,10
2019-11-01 17:11:00,10
2019-11-01 17:14:00,3
2019-11-01 17:16:00,3
2019-11-01 17:17:00,3
2019-11-01 17:22:00,10
2019-11-01 17:28:00,10
2019-11-01 17:34:00,10
2019-11-01 17:37:00,10
2019-11-01 17:43:00,10
2019-11-01 17:46:00,10
2019-11-01 17:50:00,4
2019-11-01 17:51:00,2
2019-11-01 17:55:00,3
2019-11-01 17:56:00,7
2019-11-01 17:58:00,10
2019-11-01 18:00:00,8
2019-11-01 18:01:00,2
2019-11-01 18:03:00,10
2019-11-01 18:09:00,10
2019-11-01 18:15:00,10
2019-11-01 18:18:00,6
2019-11-01 18:23:00,10
2019-11-01 18:28:00,10
