162,"SELECT TOP # rerun, camcol, field FROM PhotoObj WHERE ra BETWEEN # and # AND dec BETWEEN # and #"
2019-11-01 04:25:00,6
2019-11-01 04:45:00,1
2019-11-01 04:47:00,1
2019-11-01 05:30:00,4
2019-11-01 05:45:00,1
2019-11-01 05:47:00,2
2019-11-01 07:25:00,24
2019-11-01 07:40:00,5
2019-11-01 07:45:00,1
2019-11-01 07:48:00,1
2019-11-01 08:55:00,1
2019-11-01 10:25:00,1
2019-11-01 10:55:00,4
2019-11-01 12:10:00,1
2019-11-01 12:35:00,2
2019-11-01 12:55:00,1
2019-11-01 12:56:00,1
2019-11-01 13:20:00,7
2019-11-01 13:45:00,1
2019-11-01 13:47:00,2
2019-11-01 14:30:00,6
2019-11-01 14:31:00,3
2019-11-01 15:30:00,19
2019-11-01 15:31:00,29
2019-11-01 15:32:00,28
2019-11-01 16:45:00,1
2019-11-01 16:48:00,7
2019-11-01 20:50:00,2
