171,"SELECT TOP #  p.objid,p.ra,p.dec,p.u,p.g,p.r,p.i,p.z,  s.specobjid, s.class, s.z as redshift FROM PhotoObj AS p  JOIN SpecObj AS s ON s.bestobjid = p.objid WHERE   p.ra between # and # and  p.dec between # and #"
2019-11-01 00:15:00,2
2019-11-01 00:16:00,2
2019-11-01 00:19:00,1
2019-11-01 00:41:00,1
2019-11-01 00:58:00,1
2019-11-01 01:05:00,1
2019-11-01 01:07:00,2
2019-11-01 01:28:00,3
2019-11-01 01:31:00,1
2019-11-01 01:33:00,1
2019-11-01 01:40:00,1
2019-11-01 01:41:00,1
2019-11-01 01:42:00,1
2019-11-01 01:44:00,1
2019-11-01 01:48:00,5
2019-11-01 01:49:00,3
2019-11-01 01:51:00,2
2019-11-01 01:52:00,4
2019-11-01 01:53:00,7
2019-11-01 02:00:00,1
2019-11-01 02:02:00,1
2019-11-01 02:10:00,2
2019-11-01 02:12:00,1
2019-11-01 02:13:00,1
2019-11-01 02:15:00,1
2019-11-01 02:16:00,1
2019-11-01 02:21:00,1
2019-11-01 02:22:00,1
2019-11-01 02:23:00,4
2019-11-01 02:24:00,4
2019-11-01 02:25:00,2
2019-11-01 02:43:00,5
2019-11-01 03:11:00,1
2019-11-01 03:34:00,2
2019-11-01 03:38:00,1
2019-11-01 03:47:00,1
2019-11-01 04:24:00,1
2019-11-01 05:13:00,1
2019-11-01 05:14:00,1
2019-11-01 05:23:00,1
2019-11-01 06:32:00,1
2019-11-01 06:55:00,1
2019-11-01 06:58:00,1
2019-11-01 07:05:00,1
2019-11-01 07:25:00,1
2019-11-01 07:28:00,1
2019-11-01 11:04:00,1
2019-11-01 11:09:00,1
2019-11-01 14:20:00,1
2019-11-01 14:34:00,1
2019-11-01 14:42:00,1
2019-11-01 14:43:00,1
2019-11-01 14:49:00,1
2019-11-01 15:09:00,1
2019-11-01 15:21:00,1
2019-11-01 15:41:00,1
2019-11-01 15:46:00,1
2019-11-01 16:44:00,1
2019-11-01 17:22:00,1
2019-11-01 17:29:00,1
2019-11-01 17:52:00,1
2019-11-01 18:34:00,1
2019-11-01 18:37:00,1
2019-11-01 18:39:00,1
2019-11-01 18:40:00,1
2019-11-01 18:41:00,2
2019-11-01 18:54:00,2
2019-11-01 18:55:00,1
2019-11-01 18:59:00,1
2019-11-01 19:03:00,1
2019-11-01 19:16:00,1
2019-11-01 19:17:00,1
2019-11-01 19:21:00,2
2019-11-01 19:22:00,2
2019-11-01 19:27:00,1
2019-11-01 19:32:00,1
2019-11-01 19:44:00,1
2019-11-01 19:46:00,1
2019-11-01 20:22:00,1
2019-11-01 20:24:00,1
2019-11-01 20:28:00,5
2019-11-01 20:29:00,3
2019-11-01 20:30:00,2
2019-11-01 21:40:00,1
2019-11-01 21:52:00,1
2019-11-01 22:21:00,1
2019-11-01 22:22:00,2
2019-11-01 22:23:00,1
2019-11-01 22:32:00,1
2019-11-01 22:34:00,1
2019-11-01 22:35:00,1
2019-11-01 22:36:00,1
2019-11-01 22:43:00,1
2019-11-01 22:44:00,1
2019-11-01 22:46:00,1
2019-11-01 22:51:00,1
2019-11-01 22:52:00,3
2019-11-01 22:53:00,3
2019-11-01 22:56:00,1
2019-11-01 22:58:00,2
2019-11-01 23:10:00,2
2019-11-01 23:13:00,1
2019-11-01 23:14:00,1
2019-11-01 23:15:00,1
2019-11-01 23:17:00,2
2019-11-01 23:19:00,1
2019-11-01 23:20:00,1
2019-11-01 23:25:00,1
2019-11-01 23:28:00,1
2019-11-01 23:29:00,1
2019-11-01 23:35:00,2
2019-11-01 23:40:00,2
2019-11-01 23:42:00,1
2019-11-01 23:48:00,1
2019-11-01 23:55:00,1
2019-11-01 23:59:00,1
