1244,select * from sqllogall2#_#_#_to_#_# where mm = # and dd = # and hh = #and mi = #
2019-12-16 13:20:00,30
2019-12-16 13:21:00,30
2019-12-16 13:22:00,26
2019-12-16 13:23:00,25
2019-12-16 13:24:00,25
2019-12-16 13:25:00,23
2019-12-16 13:26:00,21
2019-12-16 13:27:00,20
2019-12-16 13:28:00,20
2019-12-16 13:29:00,18
2019-12-16 13:30:00,18
2019-12-16 13:31:00,18
2019-12-16 13:32:00,10
2019-12-16 14:01:00,5
2019-12-16 14:02:00,31
2019-12-16 14:03:00,29
2019-12-16 14:04:00,26
2019-12-16 14:05:00,26
2019-12-16 14:06:00,24
2019-12-16 14:07:00,23
2019-12-16 14:08:00,21
2019-12-16 14:09:00,21
2019-12-16 14:10:00,20
2019-12-16 14:11:00,14
2019-12-16 14:28:00,29
2019-12-16 14:29:00,28
2019-12-16 14:30:00,27
2019-12-16 14:31:00,26
2019-12-16 14:32:00,23
2019-12-16 14:33:00,23
2019-12-16 14:34:00,23
2019-12-16 14:35:00,21
2019-12-16 14:36:00,21
2019-12-16 14:37:00,21
2019-12-16 14:38:00,19
2019-12-16 14:39:00,19
2019-12-16 14:40:00,19
2019-12-16 14:41:00,1
2019-12-16 14:53:00,5
2019-12-16 14:54:00,34
2019-12-16 14:55:00,30
2019-12-16 14:56:00,29
2019-12-16 14:57:00,27
2019-12-16 14:58:00,26
2019-12-16 14:59:00,26
2019-12-16 15:00:00,22
2019-12-16 15:01:00,23
2019-12-16 15:02:00,22
2019-12-16 15:03:00,23
2019-12-16 15:04:00,22
2019-12-16 15:05:00,22
2019-12-16 15:06:00,21
2019-12-16 15:07:00,21
2019-12-16 15:08:00,20
2019-12-16 15:09:00,20
2019-12-16 15:10:00,19
2019-12-16 15:11:00,8
