36,"SELECT p.objid, p.type, p.clean, p.ra, p.dec, p.raErr, p.decErr, p.psfMag_u,p.psfMag_g,p.psfMag_r,p.psfMag_i,p.psfMag_z, p.psfMagErr_u,p.psfMagErr_g,p.psfMagErr_r,p.psfMagErr_i,p.psfMagErr_z, p.petroR5#_u,p.petroR5#_g,p.petroR5#_r,p.petroR5#_i,p.petroR5#_z, p.psffwhm_u, p.psffwhm_g, p.psffwhm_r, p.psffwhm_i, p.psffwhm_z, p.modelMagErr_u,p.modelMagErr_g,p.modelMagErr_r,p.modelMagErr_i,p.modelMagErr_z, p.modelMag_u, p.modelMag_g, p.modelMag_r, p.modelMag_i, p.modelMag_z, pz.z, pz.zErr FROM PhotoObj AS p , dbo.fGetNearbyObjEq(#, #, #) AS n LEFT JOIN Photoz AS pz ON pz.objID = n.objID WHERE n.objID = p.objID"
2019-12-16 01:13:00,1
2019-12-16 01:14:00,1
2019-12-16 01:15:00,2
2019-12-16 01:16:00,3
2019-12-16 01:17:00,3
2019-12-16 01:18:00,3
2019-12-16 01:19:00,3
2019-12-16 01:20:00,2
2019-12-16 01:21:00,1
2019-12-16 01:22:00,1
2019-12-16 01:23:00,2
2019-12-16 01:24:00,3
2019-12-16 01:25:00,3
2019-12-16 01:26:00,3
2019-12-16 01:27:00,2
2019-12-16 01:28:00,2
2019-12-16 01:29:00,1
