23,select * from stellarMassFSPSGranWideDust where specObjId=#
2019-12-16 03:38:00,1
2019-12-16 03:55:00,1
2019-12-16 04:16:00,1
2019-12-16 05:21:00,2
2019-12-16 06:11:00,1
2019-12-16 07:19:00,1
2019-12-16 10:15:00,1
2019-12-16 10:57:00,1
2019-12-16 15:52:00,2
2019-12-16 15:56:00,1
2019-12-16 16:20:00,1
2019-12-16 17:04:00,1
2019-12-16 17:45:00,1
2019-12-16 18:12:00,1
2019-12-16 18:47:00,1
2019-12-16 20:05:00,1
2019-12-16 20:45:00,1
2019-12-16 21:23:00,1
2019-12-16 21:34:00,1
2019-12-16 23:21:00,1
2019-12-16 23:56:00,1
