2,"SELECT spec.bestobjid, spec.ra, spec.dec, spec.z, spec.zErr, spec.class, spec.subclass, spec.spectroFlux_u, spec.spectroFlux_g, spec.spectroFlux_r, spec.spectroFlux_i, spec.spectroFlux_z INTO MyDB.DR1#_S8#_Spec_subc FROM SpecObj as spec WHERE   (spec.zWarning = # OR spec.zWarning = #) AND spec.ra BETWEEN #   and #  AND spec.dec BETWEEN # and # OR   (spec.zWarning = # OR spec.zWarning = #) AND spec.ra BETWEEN # and # AND spec.dec BETWEEN # and #"
2019-12-16 14:02:00,1
2019-12-16 14:03:00,1
