2933,"SELECT TOP # G.objID,G.ra,G.dec,GN.distance, PZ.z as photoz, PZ.zErr as photoz_err, S.z as specz FROM Galaxy as G JOIN dbo.fGetNearbyObjEq(#, #, #) AS GN ON G.objID = GN.objID JOIN Photoz AS PZ ON PZ.objID = GN.objID LEFT JOIN Specobj AS S ON PZ.objID = S.bestObjID ORDER BY distance"
2019-12-16 17:41:00,75
2019-12-16 17:42:00,93
2019-12-16 17:43:00,95
2019-12-16 17:44:00,93
2019-12-16 17:45:00,96
2019-12-16 17:46:00,96
2019-12-16 17:47:00,95
2019-12-16 17:48:00,97
2019-12-16 17:49:00,91
2019-12-16 17:50:00,93
2019-12-16 17:51:00,95
2019-12-16 17:52:00,96
2019-12-16 17:53:00,97
2019-12-16 17:54:00,94
2019-12-16 17:55:00,96
2019-12-16 17:56:00,92
2019-12-16 17:57:00,92
2019-12-16 17:58:00,95
2019-12-16 17:59:00,99
2019-12-16 18:00:00,98
2019-12-16 18:01:00,94
2019-12-16 18:02:00,98
2019-12-16 18:03:00,97
2019-12-16 18:04:00,97
2019-12-16 18:05:00,91
2019-12-16 18:06:00,78
2019-12-16 19:52:00,25
2019-12-16 19:53:00,78
2019-12-16 19:54:00,97
2019-12-16 19:55:00,96
2019-12-16 19:56:00,98
2019-12-16 19:57:00,95
2019-12-16 19:58:00,11
