264,"SELECT  p.objid,p.ra,p.dec,p.u,p.g,p.r,p.i,p.z,s.z as redshift, s.zErr, s.zWarning, s.class, s.snMedian FROM PhotoObj AS p JOIN SpecObj AS s ON s.bestobjid = p.objid WHERE  p.ra<(#) AND p.ra>(#)  AND p.dec<(#) AND p.dec>(#)  AND s.z<(#) AND s.z>(#)  AND p.type=# AND s.snMedian>#"
2019-12-16 10:21:00,2
2019-12-16 10:22:00,23
2019-12-16 10:23:00,17
2019-12-16 10:24:00,8
2019-12-16 10:26:00,2
2019-12-16 10:28:00,15
2019-12-16 10:29:00,36
2019-12-16 10:30:00,1
2019-12-16 10:52:00,27
2019-12-16 10:53:00,25
2019-12-16 13:28:00,2
2019-12-16 13:29:00,19
2019-12-16 13:30:00,7
2019-12-16 13:31:00,23
2019-12-16 13:34:00,1
2019-12-16 22:51:00,2
2019-12-16 22:52:00,2
2019-12-16 22:56:00,5
2019-12-16 22:57:00,26
2019-12-16 22:58:00,21
