2151,"SELECT p.u, p.g, p.r, p.i, p.z, p.err_u, p.err_g, p.err_r, p.err_i, p.err_z, modelFlux_u, modelFlux_g, modelFlux_r, modelFlux_i, modelFlux_z, modelFluxIVar_u, modelFluxIVar_g, modelFluxIVar_r, modelFluxIVar_i, modelFluxIVar_z FROM PhotoObj p WHERE (p.ra BETWEEN # AND #) AND (p.dec BETWEEN # AND #) AND p.run = # AND p.rerun = # AND p.camcol = # AND p.field = #"
2019-12-16 12:04:00,8
2019-12-16 12:11:00,8
2019-12-16 12:14:00,9
2019-12-16 12:15:00,1
2019-12-16 12:18:00,10
2019-12-16 12:20:00,2
2019-12-16 12:21:00,2
2019-12-16 12:24:00,3
2019-12-16 12:25:00,7
2019-12-16 12:27:00,5
2019-12-16 12:29:00,7
2019-12-16 12:32:00,3
2019-12-16 12:33:00,7
2019-12-16 12:35:00,2
2019-12-16 12:36:00,8
2019-12-16 12:38:00,4
2019-12-16 12:39:00,2
2019-12-16 12:42:00,2
2019-12-16 12:47:00,10
2019-12-16 12:53:00,10
2019-12-16 12:56:00,7
2019-12-16 12:57:00,1
2019-12-16 12:59:00,5
2019-12-16 13:00:00,2
2019-12-16 13:02:00,10
2019-12-16 13:05:00,8
2019-12-16 13:07:00,7
2019-12-16 13:08:00,2
2019-12-16 13:09:00,3
2019-12-16 13:10:00,5
2019-12-16 13:13:00,10
2019-12-16 13:14:00,3
2019-12-16 13:16:00,1
2019-12-16 13:17:00,9
2019-12-16 13:18:00,3
2019-12-16 13:19:00,2
2019-12-16 13:21:00,8
2019-12-16 13:24:00,10
2019-12-16 13:26:00,10
2019-12-16 13:28:00,4
2019-12-16 13:30:00,10
2019-12-16 13:32:00,5
2019-12-16 13:33:00,7
2019-12-16 13:35:00,7
2019-12-16 13:36:00,3
2019-12-16 13:37:00,10
2019-12-16 13:39:00,6
2019-12-16 13:41:00,2
2019-12-16 13:44:00,3
2019-12-16 13:45:00,7
2019-12-16 13:49:00,10
2019-12-16 13:50:00,3
2019-12-16 13:51:00,4
2019-12-16 13:52:00,1
2019-12-16 13:53:00,1
2019-12-16 13:54:00,6
2019-12-16 13:56:00,10
2019-12-16 13:59:00,8
2019-12-16 14:01:00,9
2019-12-16 14:03:00,8
