792,select * from Photoz2 where objid=#
2019-12-16 03:53:00,1
2019-12-16 06:57:00,2
2019-12-16 07:35:00,1
2019-12-16 07:36:00,4
2019-12-16 07:37:00,3
2019-12-16 07:40:00,1
2019-12-16 07:41:00,2
2019-12-16 07:42:00,3
2019-12-16 07:43:00,3
2019-12-16 07:47:00,3
2019-12-16 07:48:00,2
2019-12-16 07:49:00,3
2019-12-16 07:50:00,1
2019-12-16 07:53:00,2
2019-12-16 07:54:00,4
2019-12-16 07:55:00,3
2019-12-16 07:58:00,1
2019-12-16 07:59:00,3
2019-12-16 08:00:00,3
2019-12-16 08:01:00,3
2019-12-16 08:04:00,1
2019-12-16 08:05:00,2
2019-12-16 08:06:00,3
2019-12-16 08:07:00,3
2019-12-16 08:10:00,2
2019-12-16 08:11:00,3
2019-12-16 08:12:00,2
2019-12-16 08:13:00,2
2019-12-16 08:16:00,1
2019-12-16 08:17:00,1
2019-12-16 08:18:00,2
2019-12-16 08:19:00,2
2019-12-16 08:22:00,1
2019-12-16 08:23:00,2
2019-12-16 08:24:00,2
2019-12-16 08:25:00,3
2019-12-16 08:29:00,2
2019-12-16 08:30:00,2
2019-12-16 08:31:00,2
2019-12-16 08:32:00,1
2019-12-16 08:35:00,2
2019-12-16 08:36:00,2
2019-12-16 08:37:00,2
2019-12-16 08:38:00,2
2019-12-16 08:41:00,1
2019-12-16 08:42:00,2
2019-12-16 08:43:00,4
2019-12-16 08:44:00,3
2019-12-16 08:47:00,2
2019-12-16 08:48:00,2
2019-12-16 08:49:00,2
2019-12-16 08:50:00,2
2019-12-16 08:54:00,2
2019-12-16 08:55:00,2
2019-12-16 08:56:00,3
2019-12-16 09:00:00,2
2019-12-16 09:01:00,2
2019-12-16 09:02:00,2
2019-12-16 09:03:00,2
2019-12-16 09:06:00,1
2019-12-16 09:07:00,3
2019-12-16 09:08:00,3
2019-12-16 09:09:00,1
2019-12-16 09:12:00,1
2019-12-16 09:13:00,2
2019-12-16 09:14:00,2
2019-12-16 09:15:00,3
2019-12-16 09:18:00,2
2019-12-16 09:19:00,2
2019-12-16 09:20:00,3
2019-12-16 09:21:00,2
2019-12-16 09:25:00,5
2019-12-16 09:26:00,1
2019-12-16 09:27:00,3
2019-12-16 09:30:00,1
2019-12-16 09:31:00,3
2019-12-16 09:32:00,2
2019-12-16 09:33:00,2
2019-12-16 09:36:00,1
