2,"SELECT   g.ra,  g.dec, g.z      into mydb.file_#stars_z FROM MyDB.MyTable_# AS m   CROSS APPLY dbo.fGetNearestObjEq(m.ra_#, m.dec_#, #) AS n      JOIN PhotoObjall AS o ON n.objid=o.objid   JOIN specphotoall as g ON o.specobjid=g.specobjid"
2019-12-16 12:18:00,1
2019-12-16 12:19:00,1
