6,"select  z,ra,dec from specObj where z BETWEEN # and # AND ra BETWEEN # and # AND dec BETWEEN # and # AND zWarning = #"
2019-12-16 16:36:00,1
2019-12-16 16:38:00,1
2019-12-16 18:50:00,1
2019-12-16 19:33:00,2
2019-12-16 21:17:00,1
