10140,"select specObjID, ra, dec, z, zErr, zWarning from dr1#.SpecObjAll where bestObjId =#or fluxObjID =#"
2019-07-18 00:00:00,55
2019-07-18 00:01:00,64
2019-07-18 00:02:00,63
2019-07-18 00:03:00,62
2019-07-18 00:04:00,64
2019-07-18 00:05:00,63
2019-07-18 00:06:00,63
2019-07-18 00:07:00,64
2019-07-18 00:08:00,61
2019-07-18 00:09:00,2
2019-07-18 00:13:00,29
2019-07-18 00:14:00,62
2019-07-18 00:15:00,63
2019-07-18 00:16:00,62
2019-07-18 00:17:00,63
2019-07-18 00:18:00,61
2019-07-18 00:19:00,63
2019-07-18 00:20:00,61
2019-07-18 00:21:00,63
2019-07-18 00:22:00,62
2019-07-18 00:23:00,63
2019-07-18 00:24:00,63
2019-07-18 00:25:00,62
2019-07-18 00:26:00,63
2019-07-18 00:27:00,43
2019-07-18 00:37:00,35
2019-07-18 00:38:00,62
2019-07-18 00:39:00,64
2019-07-18 00:40:00,63
2019-07-18 00:41:00,62
2019-07-18 00:42:00,63
2019-07-18 00:43:00,63
2019-07-18 00:44:00,63
2019-07-18 00:45:00,62
2019-07-18 00:46:00,62
2019-07-18 00:47:00,62
2019-07-18 00:48:00,62
2019-07-18 00:49:00,63
2019-07-18 00:50:00,35
2019-07-18 00:53:00,12
2019-07-18 00:54:00,62
2019-07-18 00:55:00,63
2019-07-18 00:56:00,63
2019-07-18 00:57:00,63
2019-07-18 00:58:00,64
2019-07-18 00:59:00,63
2019-07-18 01:00:00,55
2019-07-18 01:01:00,62
2019-07-18 01:02:00,62
2019-07-18 01:03:00,63
2019-07-18 01:04:00,62
2019-07-18 01:05:00,63
2019-07-18 01:06:00,51
2019-07-18 01:16:00,30
2019-07-18 01:17:00,63
2019-07-18 01:18:00,63
2019-07-18 01:19:00,62
2019-07-18 01:20:00,62
2019-07-18 01:21:00,63
2019-07-18 01:22:00,63
2019-07-18 01:23:00,62
2019-07-18 01:24:00,63
2019-07-18 01:25:00,62
2019-07-18 01:26:00,62
2019-07-18 01:27:00,63
2019-07-18 01:28:00,62
2019-07-18 01:29:00,62
2019-07-18 01:30:00,20
2019-07-18 01:34:00,27
2019-07-18 01:35:00,63
2019-07-18 01:36:00,62
2019-07-18 01:37:00,63
2019-07-18 01:38:00,62
2019-07-18 01:39:00,63
2019-07-18 01:40:00,61
2019-07-18 01:41:00,63
2019-07-18 01:42:00,61
2019-07-18 01:43:00,63
2019-07-18 01:44:00,61
2019-07-18 01:45:00,62
2019-07-18 01:46:00,62
2019-07-18 01:47:00,63
2019-07-18 01:48:00,26
2019-07-18 01:51:00,8
2019-07-18 01:52:00,63
2019-07-18 01:53:00,63
2019-07-18 01:54:00,61
2019-07-18 01:55:00,63
2019-07-18 01:56:00,63
2019-07-18 01:57:00,62
2019-07-18 01:58:00,61
2019-07-18 01:59:00,63
2019-07-18 02:00:00,56
2019-07-18 02:01:00,63
2019-07-18 02:02:00,63
2019-07-18 02:03:00,63
2019-07-18 02:04:00,62
2019-07-18 02:05:00,34
2019-07-18 02:07:00,21
2019-07-18 02:08:00,63
2019-07-18 02:09:00,61
2019-07-18 02:10:00,63
2019-07-18 02:11:00,62
2019-07-18 02:12:00,63
2019-07-18 02:13:00,62
2019-07-18 02:14:00,63
2019-07-18 02:15:00,60
2019-07-18 02:16:00,14
2019-07-18 02:21:00,15
2019-07-18 02:22:00,64
2019-07-18 02:23:00,63
2019-07-18 02:24:00,63
2019-07-18 02:25:00,64
2019-07-18 02:26:00,63
2019-07-18 02:27:00,64
2019-07-18 02:28:00,63
2019-07-18 02:29:00,64
2019-07-18 02:30:00,64
2019-07-18 02:31:00,62
2019-07-18 02:32:00,63
2019-07-18 02:33:00,64
2019-07-18 02:34:00,63
2019-07-18 02:35:00,3
2019-07-18 02:37:00,22
2019-07-18 02:38:00,63
2019-07-18 02:39:00,63
2019-07-18 02:40:00,63
2019-07-18 02:41:00,64
2019-07-18 02:42:00,62
2019-07-18 02:43:00,64
2019-07-18 02:44:00,63
2019-07-18 02:45:00,64
2019-07-18 02:46:00,62
2019-07-18 02:47:00,48
2019-07-18 02:51:00,30
2019-07-18 02:52:00,63
2019-07-18 02:53:00,64
2019-07-18 02:54:00,63
2019-07-18 02:55:00,63
2019-07-18 02:56:00,63
2019-07-18 02:57:00,63
2019-07-18 02:58:00,63
2019-07-18 02:59:00,65
2019-07-18 03:00:00,56
2019-07-18 03:01:00,64
2019-07-18 03:02:00,63
2019-07-18 03:03:00,63
2019-07-18 03:04:00,58
2019-07-18 03:05:00,4
2019-07-18 06:03:00,60
2019-07-18 06:04:00,60
2019-07-18 06:05:00,61
2019-07-18 06:06:00,62
2019-07-18 06:07:00,61
2019-07-18 06:08:00,62
2019-07-18 06:09:00,62
2019-07-18 06:10:00,61
2019-07-18 06:11:00,62
2019-07-18 06:12:00,62
2019-07-18 06:13:00,62
2019-07-18 06:14:00,62
2019-07-18 06:15:00,52
2019-07-18 06:36:00,35
2019-07-18 06:37:00,60
2019-07-18 06:38:00,62
2019-07-18 06:39:00,61
2019-07-18 06:40:00,62
2019-07-18 06:41:00,62
2019-07-18 06:42:00,60
2019-07-18 06:43:00,62
2019-07-18 06:44:00,61
2019-07-18 06:45:00,61
2019-07-18 06:46:00,62
2019-07-18 06:47:00,61
2019-07-18 06:48:00,62
2019-07-18 06:49:00,63
2019-07-18 06:50:00,15
