2,"select p.objid, p.ra, p.dec, s.z as redshift from galaxy p, specobj s where p.objid=s.bestobjid and s.z BETWEEN # AND # and (p.ra between # and #) and (p.dec between # and #)"
2019-07-18 01:11:00,1
2019-07-18 01:13:00,1
