44,select distinct parent from DBViewCols where viewname=&&&
2019-07-18 01:10:00,1
2019-07-18 01:46:00,1
2019-07-18 02:08:00,1
2019-07-18 03:12:00,3
2019-07-18 03:14:00,3
2019-07-18 03:21:00,1
2019-07-18 03:30:00,1
2019-07-18 03:53:00,2
2019-07-18 04:17:00,2
2019-07-18 07:25:00,1
2019-07-18 07:46:00,1
2019-07-18 07:54:00,1
2019-07-18 09:14:00,5
2019-07-18 09:19:00,1
2019-07-18 09:21:00,1
2019-07-18 09:22:00,1
2019-07-18 09:37:00,2
2019-07-18 12:13:00,1
2019-07-18 12:49:00,1
2019-07-18 12:51:00,1
2019-07-18 12:52:00,1
2019-07-18 13:50:00,1
2019-07-18 15:23:00,1
2019-07-18 16:48:00,1
2019-07-18 18:43:00,1
2019-07-18 20:52:00,5
2019-07-18 21:12:00,1
2019-07-18 22:23:00,1
2019-07-18 23:32:00,1
