20,"SELECT u.up_col0 as col0,   &&&<a target=INFO href=http://skyserver.sdss.org/DR1#/en/tools/explore/obj.aspx?id=&&& + cast(x.objId as varchar(#)) + &&&>&&&+ cast(x.objId as varchar(#)) + &&&</a>&&& as objID, p.ra, p.dec, dbo.fPhotoTypeN(p.type) as type,  p.modelMag_u, p.modelMag_g, p.modelMag_r, p.modelMag_i, p.modelMag_z, s.z FROM #upload u  JOIN #x x ON x.up_id = u.up_id  JOIN PhotoTag p ON p.objID = x.objID  JOIN SpecObjAll s ON p.objID = s.bestObjID ORDER by x.up_id &&&#', @log=#, @filter=#"
2019-07-18 07:16:00,1
2019-07-18 07:17:00,1
2019-07-18 07:18:00,1
2019-07-18 07:19:00,2
2019-07-18 07:20:00,1
2019-07-18 07:43:00,1
2019-07-18 07:45:00,1
2019-07-18 09:12:00,1
2019-07-18 09:13:00,2
2019-07-18 09:14:00,1
2019-07-18 12:00:00,2
2019-07-18 12:01:00,1
2019-07-18 12:02:00,1
2019-07-18 12:15:00,1
2019-07-18 12:18:00,1
2019-07-18 12:22:00,1
2019-07-18 12:27:00,1
