1086,"select survey, run2d, plate,mjd, fiberID, specObjID from SpecObj where class = &&& and ra between # and # and dec between # and #"
2019-07-18 16:11:00,2
2019-07-18 16:12:00,2
2019-07-18 16:13:00,3
2019-07-18 16:14:00,2
2019-07-18 16:15:00,2
2019-07-18 16:16:00,2
2019-07-18 16:17:00,3
2019-07-18 16:18:00,2
2019-07-18 16:19:00,3
2019-07-18 16:20:00,2
2019-07-18 16:21:00,4
2019-07-18 16:22:00,3
2019-07-18 16:23:00,4
2019-07-18 16:24:00,4
2019-07-18 16:25:00,4
2019-07-18 16:26:00,3
2019-07-18 16:27:00,3
2019-07-18 16:28:00,3
2019-07-18 16:29:00,4
2019-07-18 16:30:00,4
2019-07-18 16:31:00,3
2019-07-18 16:32:00,5
2019-07-18 16:33:00,3
2019-07-18 16:34:00,4
2019-07-18 16:35:00,3
2019-07-18 16:36:00,4
2019-07-18 16:37:00,4
2019-07-18 16:38:00,4
2019-07-18 16:39:00,5
2019-07-18 16:40:00,3
2019-07-18 16:41:00,5
2019-07-18 16:42:00,4
2019-07-18 16:43:00,4
2019-07-18 16:44:00,5
2019-07-18 16:45:00,5
2019-07-18 16:46:00,4
2019-07-18 16:47:00,4
2019-07-18 16:48:00,5
2019-07-18 16:49:00,4
2019-07-18 16:50:00,3
2019-07-18 16:51:00,4
2019-07-18 16:52:00,3
2019-07-18 16:53:00,4
2019-07-18 16:54:00,3
2019-07-18 16:55:00,4
2019-07-18 16:56:00,4
2019-07-18 16:57:00,3
2019-07-18 16:58:00,3
2019-07-18 16:59:00,4
2019-07-18 17:00:00,4
2019-07-18 17:01:00,3
2019-07-18 17:02:00,4
2019-07-18 17:03:00,4
2019-07-18 17:04:00,4
2019-07-18 17:05:00,3
2019-07-18 17:06:00,2
2019-07-18 17:07:00,4
2019-07-18 17:08:00,6
2019-07-18 17:09:00,5
2019-07-18 17:10:00,4
2019-07-18 17:11:00,4
2019-07-18 17:12:00,4
2019-07-18 17:13:00,5
2019-07-18 17:14:00,4
2019-07-18 17:15:00,4
2019-07-18 17:16:00,4
2019-07-18 17:17:00,4
2019-07-18 17:18:00,3
2019-07-18 17:19:00,4
2019-07-18 17:20:00,4
2019-07-18 17:21:00,4
2019-07-18 17:22:00,4
2019-07-18 17:23:00,3
2019-07-18 17:24:00,3
2019-07-18 17:25:00,4
2019-07-18 17:26:00,4
2019-07-18 17:27:00,4
2019-07-18 17:28:00,5
2019-07-18 17:29:00,4
2019-07-18 17:30:00,1
2019-07-18 17:31:00,5
2019-07-18 17:32:00,5
2019-07-18 17:33:00,4
2019-07-18 17:34:00,5
2019-07-18 17:35:00,4
2019-07-18 17:36:00,4
2019-07-18 17:37:00,5
2019-07-18 17:38:00,3
2019-07-18 17:39:00,4
2019-07-18 17:40:00,5
2019-07-18 17:41:00,3
2019-07-18 17:42:00,4
2019-07-18 17:43:00,3
2019-07-18 17:44:00,5
2019-07-18 17:45:00,4
2019-07-18 17:46:00,4
2019-07-18 17:47:00,4
2019-07-18 17:48:00,4
2019-07-18 17:49:00,3
2019-07-18 17:50:00,4
2019-07-18 17:51:00,3
2019-07-18 17:52:00,5
2019-07-18 17:53:00,5
2019-07-18 17:54:00,6
2019-07-18 17:55:00,5
2019-07-18 17:56:00,5
2019-07-18 17:57:00,5
2019-07-18 17:58:00,5
2019-07-18 17:59:00,4
2019-07-18 18:00:00,3
2019-07-18 18:01:00,4
2019-07-18 18:02:00,4
2019-07-18 18:03:00,4
2019-07-18 18:04:00,3
2019-07-18 18:05:00,4
2019-07-18 18:06:00,4
2019-07-18 18:07:00,4
2019-07-18 18:08:00,3
2019-07-18 18:09:00,5
2019-07-18 18:10:00,3
2019-07-18 18:11:00,3
2019-07-18 18:12:00,4
2019-07-18 18:13:00,4
2019-07-18 18:14:00,5
2019-07-18 18:15:00,5
2019-07-18 18:16:00,4
2019-07-18 18:17:00,5
2019-07-18 18:18:00,5
2019-07-18 18:19:00,6
2019-07-18 18:20:00,6
2019-07-18 18:21:00,6
2019-07-18 18:22:00,4
2019-07-18 18:23:00,6
2019-07-18 18:24:00,5
2019-07-18 18:25:00,4
2019-07-18 18:26:00,5
2019-07-18 18:27:00,3
2019-07-18 18:28:00,4
2019-07-18 18:29:00,4
2019-07-18 18:30:00,4
2019-07-18 18:31:00,3
2019-07-18 18:32:00,3
2019-07-18 18:33:00,4
2019-07-18 18:34:00,5
2019-07-18 18:35:00,4
2019-07-18 18:36:00,4
2019-07-18 18:37:00,4
2019-07-18 18:38:00,4
2019-07-18 18:39:00,5
2019-07-18 18:40:00,4
2019-07-18 18:41:00,6
2019-07-18 18:42:00,6
2019-07-18 18:43:00,6
2019-07-18 18:44:00,6
2019-07-18 18:45:00,4
