25331,"SELECT TOP # ra,dec,u,err_u,g,err_g,r,err_r,i,err_i,z,err_z,objID from STAR where ra BETWEEN # and # AND dec BETWEEN # and #"
2019-07-22 00:00:00,243
2019-07-22 00:01:00,247
2019-07-22 00:02:00,251
2019-07-22 00:03:00,254
2019-07-22 00:04:00,183
2019-07-22 00:05:00,202
2019-07-22 00:06:00,159
2019-07-22 00:07:00,121
2019-07-22 00:08:00,158
2019-07-22 00:09:00,174
2019-07-22 00:10:00,230
2019-07-22 00:11:00,233
2019-07-22 00:12:00,172
2019-07-22 00:13:00,139
2019-07-22 00:14:00,153
2019-07-22 00:15:00,183
2019-07-22 00:16:00,251
2019-07-22 00:17:00,234
2019-07-22 00:18:00,229
2019-07-22 00:19:00,244
2019-07-22 00:20:00,241
2019-07-22 00:21:00,252
2019-07-22 00:22:00,249
2019-07-22 00:23:00,243
2019-07-22 00:24:00,241
2019-07-22 00:25:00,253
2019-07-22 00:26:00,246
2019-07-22 00:27:00,241
2019-07-22 00:28:00,243
2019-07-22 00:29:00,235
2019-07-22 00:30:00,260
2019-07-22 00:31:00,232
2019-07-22 00:32:00,236
2019-07-22 00:33:00,243
2019-07-22 00:34:00,190
2019-07-22 00:35:00,168
2019-07-22 00:36:00,200
2019-07-22 00:37:00,246
2019-07-22 00:38:00,222
2019-07-22 00:39:00,233
2019-07-22 00:40:00,217
2019-07-22 00:41:00,244
2019-07-22 00:42:00,247
2019-07-22 00:43:00,249
2019-07-22 00:44:00,241
2019-07-22 00:45:00,245
2019-07-22 00:46:00,240
2019-07-22 00:47:00,241
2019-07-22 00:48:00,238
2019-07-22 00:49:00,264
2019-07-22 00:50:00,260
2019-07-22 00:51:00,239
2019-07-22 00:52:00,241
2019-07-22 00:53:00,229
2019-07-22 00:54:00,256
2019-07-22 00:55:00,210
2019-07-22 00:56:00,140
2019-07-22 00:57:00,166
2019-07-22 00:58:00,159
2019-07-22 00:59:00,177
2019-07-22 01:00:00,184
2019-07-22 01:01:00,170
2019-07-22 01:02:00,136
2019-07-22 01:03:00,149
2019-07-22 01:04:00,219
2019-07-22 01:05:00,238
2019-07-22 01:06:00,245
2019-07-22 01:07:00,227
2019-07-22 01:08:00,234
2019-07-22 01:09:00,233
2019-07-22 01:10:00,251
2019-07-22 01:11:00,252
2019-07-22 01:12:00,248
2019-07-22 01:13:00,255
2019-07-22 01:14:00,253
2019-07-22 01:15:00,240
2019-07-22 01:16:00,158
2019-07-22 01:17:00,144
2019-07-22 01:18:00,164
2019-07-22 01:19:00,187
2019-07-22 01:20:00,201
2019-07-22 01:21:00,200
2019-07-22 01:22:00,217
2019-07-22 01:23:00,141
2019-07-22 01:24:00,139
2019-07-22 01:25:00,159
2019-07-22 01:26:00,181
2019-07-22 01:27:00,144
2019-07-22 01:28:00,198
2019-07-22 01:29:00,142
2019-07-22 01:30:00,220
2019-07-22 01:31:00,242
2019-07-22 01:32:00,259
2019-07-22 01:33:00,245
2019-07-22 01:34:00,270
2019-07-22 01:35:00,259
2019-07-22 01:36:00,249
2019-07-22 01:37:00,252
2019-07-22 01:38:00,245
2019-07-22 01:39:00,251
2019-07-22 01:40:00,243
2019-07-22 01:41:00,235
2019-07-22 01:42:00,238
2019-07-22 01:43:00,241
2019-07-22 01:44:00,242
2019-07-22 01:45:00,230
2019-07-22 01:46:00,250
2019-07-22 01:47:00,225
2019-07-22 01:48:00,241
2019-07-22 01:49:00,252
2019-07-22 01:50:00,244
2019-07-22 01:51:00,237
2019-07-22 01:52:00,236
2019-07-22 01:53:00,204
2019-07-22 01:54:00,150
2019-07-22 01:55:00,68
2019-07-22 01:56:00,72
2019-07-22 01:57:00,75
2019-07-22 01:58:00,10
