494,"SELECT ra, dec, radius, type,area FROM Mask where ra < # and ra > # and dec < # and dec > # and type != #"
2019-07-22 03:01:00,1
2019-07-22 03:02:00,67
2019-07-22 03:03:00,76
2019-07-22 03:04:00,76
2019-07-22 03:05:00,55
2019-07-22 03:06:00,77
2019-07-22 03:07:00,67
2019-07-22 03:08:00,75
