167,"SELECT p.RA, p.DEC, p.PetroR5#_r, p.PetroR9#_r, p.PetroR5#_g, p.PetroR9#_g, p.deVAB_r, p.deVAB_g, p.deVABErr_r, p.deVABErr_g, p.expAB_r, p.expAB_g, p.expABErr_r, p.expABErr_g, p.deVPhi_r, p.deVPhi_g, p.expPhi_r, p.expPhi_g, p.deVRad_r, p.deVRad_g, p.deVRadErr_r, p.deVRadErr_g, p.expRad_r, p.expRad_g, p.expRadErr_r, p.expRadErr_g, p.objid, s.z  FROM PhotoObj as p  JOIN SpecObj as s on s.bestobjid = p.objid  WHERE  objid=# OR objid=# OR objid=# OR objid=# OR objid=# OR objid=# OR objid=# OR objid=# OR objid=# OR objid=# OR objid=# OR objid=# OR objid=# OR objid=# OR objid=# OR objid=# OR objid=# OR objid=# OR objid=# OR objid=# OR objid=# OR objid=# OR objid=# OR objid=# OR objid=# OR objid=# OR objid=# OR objid=# OR objid=# OR objid=# OR objid=# OR objid=# OR objid=# OR objid=# OR objid=# OR objid=# OR objid=# OR objid=# OR objid=# OR objid=# OR objid=# OR objid=# OR objid=# OR objid=# OR objid=# OR objid=# OR objid=# OR objid=# OR objid=# OR objid=# OR objid=# OR objid=# OR objid=# OR objid=# OR objid=# OR objid=# OR objid=# OR objid=# OR objid=# OR objid=# OR objid=# OR objid=# OR objid=# OR objid=# OR objid=# OR objid=# OR objid=# OR objid=# OR objid=# OR objid=# OR objid=# OR objid=# OR objid=# OR objid=# OR objid=# OR objid=# OR objid=# OR objid=# OR objid=# OR objid=# OR objid=# OR objid=# OR objid=# OR objid=# OR objid=# OR objid=# OR objid=# OR objid=# OR objid=# OR objid=# OR objid=# OR objid=# OR objid=# OR objid=# OR objid=# OR objid=# OR objid=# OR objid=# OR objid=# OR objid=# OR objid=# OR objid=# OR objid=# OR objid=# OR objid=# OR objid=# OR objid=# OR objid=# OR objid=# OR objid=# OR objid=# OR objid=# OR objid=# OR objid=# OR objid=# OR objid=# OR objid=# OR objid=# OR objid=# OR objid=# OR objid=# OR objid=# OR objid=# OR objid=# OR objid=# OR objid=# OR objid=# OR objid=# OR objid=# OR objid=# OR objid=# OR objid=# OR objid=# OR objid=# OR objid=# OR objid=# OR objid=# OR objid=# OR objid=# OR objid=# OR objid=# OR objid=# OR objid=# OR objid=# OR objid=# OR objid=# OR objid=# OR objid=# OR objid=# OR objid=# OR objid=# OR objid=# OR objid=# OR objid=# OR objid=# OR objid=# OR objid=# OR objid=# OR objid=# OR objid=# OR objid=# OR objid=# OR objid=# OR objid=# OR objid=# OR objid=# OR objid=# OR objid=# OR objid=# OR objid=# OR objid=# OR objid=# OR objid=# OR objid=# OR objid=# OR objid=# OR objid=# OR objid=# OR objid=# OR objid=# OR objid=# OR objid=# OR objid=# OR objid=# OR objid=# OR objid=# OR objid=# OR objid=# OR objid=# OR objid=# OR objid=# OR objid=# OR objid=# OR objid=# OR objid=# OR objid=# OR objid=# OR objid=# OR objid=# OR objid=# OR objid=# OR objid=# OR objid=# OR objid=# OR objid=# OR objid=# OR objid=# OR objid=# OR objid=# OR objid=# OR objid=# OR objid=# OR objid=# OR objid=# OR objid=# OR objid=# OR objid=# OR objid=# OR objid=# OR objid=# OR objid=# OR objid=# OR objid=# OR objid=# OR objid=# OR objid=# OR objid=# OR objid=# OR objid=# OR objid=# OR objid=# OR objid=# OR objid=# OR objid=# OR objid=# OR objid=# OR objid=# OR objid=# OR objid=# OR objid=# OR objid=# OR objid=# OR objid=# OR objid=# OR objid=# OR objid=# OR objid=# OR objid=# OR objid=# OR objid=# OR objid=# OR objid=# OR objid=# OR objid=# OR objid=# OR objid=# OR objid=# OR objid=# OR objid=# OR objid=# OR objid=# OR objid=# OR objid=# OR objid=#"
2019-07-22 00:57:00,3
2019-07-22 00:58:00,5
2019-07-22 00:59:00,12
2019-07-22 01:00:00,12
2019-07-22 01:01:00,12
2019-07-22 01:02:00,12
2019-07-22 01:03:00,12
2019-07-22 01:04:00,13
2019-07-22 01:05:00,11
2019-07-22 01:06:00,12
2019-07-22 01:07:00,12
2019-07-22 01:08:00,11
2019-07-22 01:09:00,12
2019-07-22 01:10:00,12
2019-07-22 01:11:00,11
2019-07-22 01:12:00,5
