127,"SELECT up_id, dbo.fGetNearestSpecObjIdEq(up_ra,up_dec,#) as SpecobjId   FROM #upload WHERE dbo.fGetNearestSpecObjIdEq(up_ra,up_dec,#) IS NOT NULL  EXEC spExecuteSQL &&&,&&&, @log=#, @filter=#"
2019-07-22 12:09:00,1
2019-07-22 12:10:00,1
2019-07-22 12:12:00,1
2019-07-22 12:14:00,1
2019-07-22 12:24:00,1
2019-07-22 12:26:00,1
2019-07-22 12:28:00,1
2019-07-22 12:31:00,1
2019-07-22 12:33:00,2
2019-07-22 12:35:00,2
2019-07-22 12:37:00,1
2019-07-22 12:38:00,1
2019-07-22 12:40:00,1
2019-07-22 12:41:00,3
2019-07-22 12:43:00,1
2019-07-22 12:44:00,1
2019-07-22 12:45:00,2
2019-07-22 12:46:00,2
2019-07-22 12:47:00,1
2019-07-22 12:49:00,1
2019-07-22 12:51:00,1
2019-07-22 12:53:00,4
2019-07-22 12:54:00,1
2019-07-22 12:56:00,1
2019-07-22 12:58:00,2
2019-07-22 13:00:00,1
2019-07-22 13:01:00,2
2019-07-22 13:03:00,1
2019-07-22 13:07:00,1
2019-07-22 13:08:00,2
2019-07-22 13:09:00,1
2019-07-22 13:11:00,1
2019-07-22 13:13:00,2
2019-07-22 13:14:00,1
2019-07-22 13:15:00,2
2019-07-22 13:16:00,1
2019-07-22 13:17:00,2
2019-07-22 13:18:00,2
2019-07-22 13:19:00,1
2019-07-22 13:20:00,2
2019-07-22 13:21:00,1
2019-07-22 13:22:00,3
2019-07-22 13:23:00,3
2019-07-22 13:24:00,2
2019-07-22 13:25:00,2
2019-07-22 13:26:00,2
2019-07-22 13:27:00,2
2019-07-22 13:28:00,3
2019-07-22 13:29:00,2
2019-07-22 13:30:00,2
2019-07-22 13:31:00,1
2019-07-22 13:32:00,2
2019-07-22 13:33:00,1
2019-07-22 13:34:00,2
2019-07-22 13:35:00,1
2019-07-22 13:36:00,5
2019-07-22 13:37:00,2
2019-07-22 13:38:00,1
2019-07-22 13:39:00,3
2019-07-22 13:41:00,1
2019-07-22 13:42:00,4
2019-07-22 13:43:00,3
2019-07-22 13:44:00,2
2019-07-22 13:45:00,3
2019-07-22 13:46:00,1
2019-07-22 13:48:00,1
2019-07-22 14:10:00,1
2019-07-22 14:11:00,1
2019-07-22 14:12:00,1
2019-07-22 14:14:00,1
2019-07-22 14:16:00,1
2019-07-22 14:19:00,1
2019-07-22 14:21:00,1
2019-07-22 14:23:00,1
2019-07-22 14:25:00,1
2019-07-22 14:27:00,1
2019-07-22 14:32:00,1
2019-07-22 14:33:00,1
2019-07-22 14:34:00,1
2019-07-22 14:36:00,1
2019-07-22 18:01:00,1
