38,"SELECT ra,dec,u,err_u,g,err_g,r,err_r,i,err_i,z,err_z FROM Star WHERE ra BETWEEN # AND # AND dec BETWEEN # and # AND g<#"
2019-07-22 00:17:00,1
2019-07-22 00:19:00,1
2019-07-22 01:25:00,2
2019-07-22 18:15:00,1
2019-07-22 19:38:00,1
2019-07-22 19:54:00,1
2019-07-22 20:02:00,1
2019-07-22 20:08:00,1
2019-07-22 20:10:00,1
2019-07-22 20:22:00,1
2019-07-22 20:25:00,1
2019-07-22 20:36:00,1
2019-07-22 21:06:00,1
2019-07-22 21:11:00,1
2019-07-22 21:15:00,1
2019-07-22 21:27:00,1
2019-07-22 21:57:00,1
2019-07-22 22:03:00,1
2019-07-22 22:05:00,1
2019-07-22 22:07:00,1
2019-07-22 22:29:00,5
2019-07-22 23:08:00,1
2019-07-22 23:12:00,1
2019-07-22 23:18:00,1
2019-07-22 23:26:00,1
2019-07-22 23:30:00,1
2019-07-22 23:33:00,1
2019-07-22 23:34:00,1
2019-07-22 23:39:00,1
2019-07-22 23:44:00,1
2019-07-22 23:48:00,1
2019-07-22 23:52:00,1
2019-07-22 23:56:00,1
