54,select * from fDocFunctionParams(&&&)
2019-08-17 00:07:00,1
2019-08-17 00:14:00,1
2019-08-17 01:05:00,1
2019-08-17 01:54:00,1
2019-08-17 03:45:00,1
2019-08-17 06:20:00,1
2019-08-17 09:20:00,1
2019-08-17 10:10:00,1
2019-08-17 10:46:00,1
2019-08-17 11:40:00,1
2019-08-17 11:42:00,1
2019-08-17 12:23:00,1
2019-08-17 12:29:00,1
2019-08-17 14:53:00,1
2019-08-17 16:41:00,10
2019-08-17 16:43:00,6
2019-08-17 16:51:00,10
2019-08-17 16:53:00,8
2019-08-17 19:45:00,1
2019-08-17 19:47:00,1
2019-08-17 20:00:00,1
2019-08-17 22:04:00,1
2019-08-17 22:07:00,1
2019-08-17 22:08:00,1
