203,"SELECT g.objid,g.ra,g.dec,p.z,p.zErr,q.u,q.g,q.r,q.i,q.z FROM GALAXY as g JOIN PhotoZ as p ON p.objID = g.ObjID JOIN PhotoObjAll as q ON q.objID = g.objID WHERE (g.ra between # and #) and (g.dec between # and #)"
2019-08-17 00:38:00,1
2019-08-17 00:40:00,1
2019-08-17 00:48:00,1
2019-08-17 00:50:00,1
2019-08-17 05:28:00,1
2019-08-17 05:29:00,1
2019-08-17 05:30:00,1
2019-08-17 05:34:00,4
2019-08-17 05:37:00,1
2019-08-17 05:39:00,2
2019-08-17 05:40:00,2
2019-08-17 05:41:00,1
2019-08-17 05:47:00,1
2019-08-17 05:52:00,1
2019-08-17 05:53:00,1
2019-08-17 06:04:00,1
2019-08-17 06:05:00,1
2019-08-17 06:07:00,2
2019-08-17 06:08:00,2
2019-08-17 06:21:00,1
2019-08-17 06:23:00,2
2019-08-17 06:25:00,3
2019-08-17 06:26:00,1
2019-08-17 06:27:00,2
2019-08-17 06:36:00,1
2019-08-17 06:45:00,1
2019-08-17 06:48:00,1
2019-08-17 06:53:00,1
2019-08-17 06:58:00,1
2019-08-17 07:02:00,1
2019-08-17 07:11:00,1
2019-08-17 07:12:00,2
2019-08-17 07:13:00,1
2019-08-17 07:14:00,1
2019-08-17 07:15:00,3
2019-08-17 07:16:00,1
2019-08-17 07:17:00,2
2019-08-17 07:18:00,1
2019-08-17 07:27:00,1
2019-08-17 07:51:00,1
2019-08-17 08:18:00,1
2019-08-17 08:19:00,1
2019-08-17 08:25:00,1
2019-08-17 08:27:00,1
2019-08-17 08:30:00,2
2019-08-17 08:32:00,1
2019-08-17 08:33:00,4
2019-08-17 08:39:00,1
2019-08-17 08:41:00,5
2019-08-17 09:50:00,1
2019-08-17 09:52:00,3
2019-08-17 09:59:00,1
2019-08-17 10:05:00,1
2019-08-17 10:15:00,1
2019-08-17 10:21:00,1
2019-08-17 10:22:00,1
2019-08-17 10:24:00,1
2019-08-17 10:31:00,1
2019-08-17 10:34:00,1
2019-08-17 10:35:00,1
2019-08-17 10:36:00,2
2019-08-17 10:38:00,3
2019-08-17 12:06:00,2
2019-08-17 13:01:00,1
2019-08-17 13:02:00,4
2019-08-17 13:04:00,5
2019-08-17 13:05:00,8
2019-08-17 13:08:00,3
2019-08-17 13:52:00,1
2019-08-17 13:53:00,2
2019-08-17 13:55:00,2
2019-08-17 13:56:00,1
2019-08-17 13:57:00,1
2019-08-17 13:58:00,2
2019-08-17 13:59:00,2
2019-08-17 14:00:00,1
2019-08-17 16:47:00,3
2019-08-17 16:48:00,3
2019-08-17 16:49:00,1
2019-08-17 16:50:00,3
2019-08-17 16:51:00,3
2019-08-17 16:52:00,4
2019-08-17 16:53:00,2
2019-08-17 16:54:00,1
2019-08-17 17:57:00,1
2019-08-17 20:31:00,1
2019-08-17 20:33:00,1
2019-08-17 20:38:00,1
2019-08-17 20:42:00,1
2019-08-17 20:43:00,2
2019-08-17 20:44:00,1
2019-08-17 20:45:00,3
2019-08-17 20:46:00,1
2019-08-17 20:55:00,1
2019-08-17 20:56:00,2
2019-08-17 20:57:00,2
2019-08-17 20:58:00,1
2019-08-17 21:04:00,1
2019-08-17 21:05:00,1
2019-08-17 21:06:00,2
2019-08-17 21:07:00,1
2019-08-17 21:10:00,1
2019-08-17 21:24:00,2
2019-08-17 21:34:00,1
2019-08-17 21:36:00,2
2019-08-17 21:37:00,1
2019-08-17 21:38:00,1
2019-08-17 21:39:00,1
2019-08-17 21:40:00,2
2019-08-17 21:41:00,1
2019-08-17 21:44:00,2
2019-08-17 21:48:00,2
2019-08-17 21:49:00,1
2019-08-17 21:50:00,1
2019-08-17 21:51:00,1
2019-08-17 21:52:00,1
2019-08-17 21:53:00,1
2019-08-17 22:03:00,1
2019-08-17 22:04:00,1
2019-08-17 22:09:00,1
2019-08-17 22:14:00,1
2019-08-17 22:18:00,1
2019-08-17 22:38:00,1
2019-08-17 22:55:00,1
2019-08-17 22:56:00,2
2019-08-17 22:57:00,5
