100,"select p.objID,p.ra,p.dec,p.run,p.rerun,p.camcol,p.field,p.obj,dbo.fGetUrlFitsCFrame(fieldid,&&&),gn.distance FROM PhotoObjAll AS p JOIN dbo.fGetNearbyObjEq(#,#,#) AS GN ON p.objID = GN.objID ORDER BY distance"
2019-08-17 23:07:00,1
2019-08-17 23:08:00,2
2019-08-17 23:09:00,3
2019-08-17 23:10:00,3
2019-08-17 23:11:00,4
2019-08-17 23:12:00,3
2019-08-17 23:13:00,3
2019-08-17 23:14:00,3
2019-08-17 23:15:00,3
2019-08-17 23:16:00,3
2019-08-17 23:17:00,4
2019-08-17 23:18:00,3
2019-08-17 23:19:00,3
2019-08-17 23:20:00,3
2019-08-17 23:21:00,3
2019-08-17 23:22:00,4
2019-08-17 23:23:00,3
2019-08-17 23:24:00,3
2019-08-17 23:25:00,3
2019-08-17 23:26:00,3
2019-08-17 23:27:00,3
2019-08-17 23:28:00,4
2019-08-17 23:29:00,3
2019-08-17 23:30:00,3
2019-08-17 23:31:00,3
2019-08-17 23:32:00,3
2019-08-17 23:33:00,4
2019-08-17 23:34:00,3
2019-08-17 23:35:00,2
2019-08-17 23:36:00,3
2019-08-17 23:37:00,3
2019-08-17 23:38:00,4
2019-08-17 23:39:00,2
