62,select distinct parent from DBViewCols where viewname=&&&
2019-06-01 03:13:00,1
2019-06-01 05:18:00,1
2019-06-01 05:19:00,1
2019-06-01 05:47:00,1
2019-06-01 05:59:00,1
2019-06-01 07:03:00,1
2019-06-01 08:53:00,1
2019-06-01 10:05:00,1
2019-06-01 10:53:00,1
2019-06-01 11:28:00,1
2019-06-01 11:35:00,1
2019-06-01 11:49:00,1
2019-06-01 14:11:00,1
2019-06-01 15:29:00,1
2019-06-01 16:26:00,7
2019-06-01 16:27:00,7
2019-06-01 16:28:00,9
2019-06-01 16:29:00,9
2019-06-01 16:30:00,8
2019-06-01 18:04:00,1
2019-06-01 18:47:00,1
2019-06-01 19:24:00,1
2019-06-01 19:47:00,2
2019-06-01 22:11:00,1
2019-06-01 22:17:00,1
2019-06-01 22:59:00,1
