120,"select name,ucd from dbcolumns where tablename = &&& and ( name like &&& or  name like &&& or  name like &&& or  name like &&& or  name like &&& or  name like &&& or  name like &&& or  name like &&& or  name like &&& or  name like &&& or  name like &&& or  name like &&& or  name like &&& or  name like &&& or  name like &&& or  name like &&& or  name like &&& or  name like &&& or  name like &&& or  name like &&& or  name like &&& or  name like &&& or  name like &&& or  name like &&&)"
2019-06-01 00:45:00,1
2019-06-01 01:46:00,1
2019-06-01 01:52:00,1
2019-06-01 01:59:00,1
2019-06-01 02:04:00,1
2019-06-01 02:05:00,1
2019-06-01 02:09:00,1
2019-06-01 02:13:00,1
2019-06-01 02:16:00,1
2019-06-01 02:45:00,1
2019-06-01 03:26:00,9
2019-06-01 03:45:00,1
2019-06-01 04:19:00,9
2019-06-01 04:45:00,1
2019-06-01 05:45:00,1
2019-06-01 06:45:00,1
2019-06-01 07:44:00,1
2019-06-01 07:50:00,1
2019-06-01 07:52:00,1
2019-06-01 07:58:00,1
2019-06-01 08:44:00,1
2019-06-01 09:45:00,2
2019-06-01 09:53:00,1
2019-06-01 09:56:00,1
2019-06-01 09:59:00,1
2019-06-01 10:05:00,1
2019-06-01 10:09:00,1
2019-06-01 10:45:00,1
2019-06-01 10:51:00,1
2019-06-01 10:52:00,1
2019-06-01 10:54:00,1
2019-06-01 11:45:00,1
2019-06-01 11:51:00,1
2019-06-01 12:45:00,1
2019-06-01 13:45:00,1
2019-06-01 13:57:00,1
2019-06-01 14:01:00,1
2019-06-01 14:02:00,1
2019-06-01 14:08:00,1
2019-06-01 14:09:00,1
2019-06-01 14:11:00,1
2019-06-01 14:17:00,1
2019-06-01 14:19:00,1
2019-06-01 14:22:00,1
2019-06-01 14:24:00,1
2019-06-01 14:31:00,9
2019-06-01 14:36:00,1
2019-06-01 14:45:00,1
2019-06-01 14:54:00,1
2019-06-01 14:55:00,1
2019-06-01 15:03:00,1
2019-06-01 15:05:00,1
2019-06-01 15:18:00,1
2019-06-01 15:20:00,1
2019-06-01 15:45:00,1
2019-06-01 16:45:00,1
2019-06-01 16:47:00,9
2019-06-01 17:45:00,1
2019-06-01 17:49:00,9
2019-06-01 18:45:00,1
2019-06-01 19:35:00,9
2019-06-01 19:45:00,1
2019-06-01 19:50:00,9
