17,"SELECT TOP # p.objid,  p.run, p.rerun, p.camcol, p.field, p.obj,  p.type, p.ra, p.dec, p.u,p.g, p.r, p.i, p.z,  p.Err_u, p.Err_g, p.Err_r, p.Err_i, p.Err_z  FROM fGetObjFromRect(#,#,#,#) n, PhotoPrimary p  WHERE n.objID=p.objID AND p.g between # AND #"
2019-06-01 15:21:00,1
2019-06-01 15:28:00,1
2019-06-01 15:36:00,1
2019-06-01 15:40:00,1
2019-06-01 15:49:00,1
2019-06-01 15:54:00,1
2019-06-01 15:57:00,1
2019-06-01 15:58:00,1
2019-06-01 16:00:00,1
2019-06-01 16:47:00,1
2019-06-01 16:52:00,1
2019-06-01 16:55:00,1
2019-06-01 16:59:00,1
2019-06-01 17:54:00,1
2019-06-01 17:56:00,1
2019-06-01 18:09:00,1
2019-06-01 18:32:00,1
