27,"select specObjID, objID, ra, dec, z, petroMag_r-extinction_r as rpmag   from SpecPhotoAll where ra between # and # and dec between # and # and z between # and # and type = #"
2019-06-01 18:14:00,1
2019-06-01 18:19:00,1
2019-06-01 18:23:00,1
2019-06-01 18:24:00,1
2019-06-01 18:50:00,1
2019-06-01 18:51:00,1
2019-06-01 18:52:00,1
2019-06-01 19:51:00,1
2019-06-01 20:31:00,1
2019-06-01 20:36:00,2
2019-06-01 20:37:00,2
2019-06-01 20:38:00,1
2019-06-01 20:39:00,2
2019-06-01 20:40:00,1
2019-06-01 20:44:00,1
2019-06-01 20:45:00,1
2019-06-01 20:49:00,1
2019-06-01 20:50:00,1
2019-06-01 21:03:00,1
2019-06-01 21:04:00,2
2019-06-01 21:05:00,1
2019-06-01 21:15:00,1
2019-06-01 21:23:00,1
