45,"select P.objid,P.ra,P.dec,P.petroMag_r,P.petroMagErr_r,P.deVRad_r,P.petroRad_r,P.deVPhi_r,P.deVAB_r,P.rowc_r,P.colc_r,P.run,P.rerun,P.camcol,P.field from PhotoObjAll P where P.objid = #"
2019-06-01 16:24:00,1
2019-06-01 17:00:00,1
2019-06-01 17:05:00,1
2019-06-01 17:07:00,3
2019-06-01 22:54:00,3
2019-06-01 22:55:00,3
2019-06-01 22:58:00,3
2019-06-01 22:59:00,6
2019-06-01 23:02:00,3
2019-06-01 23:07:00,3
2019-06-01 23:11:00,3
2019-06-01 23:15:00,3
2019-06-01 23:35:00,3
2019-06-01 23:36:00,3
2019-06-01 23:39:00,3
2019-06-01 23:40:00,3
