93,select * from Photoz2 where objid=#
2019-12-07 00:37:00,1
2019-12-07 00:44:00,1
2019-12-07 08:23:00,1
2019-12-07 11:33:00,1
2019-12-07 11:37:00,1
2019-12-07 12:50:00,2
2019-12-07 14:18:00,1
2019-12-07 14:38:00,3
2019-12-07 14:39:00,4
2019-12-07 14:40:00,3
2019-12-07 15:01:00,1
2019-12-07 15:02:00,1
2019-12-07 15:03:00,1
2019-12-07 15:04:00,2
2019-12-07 15:05:00,2
2019-12-07 15:06:00,1
2019-12-07 15:29:00,1
2019-12-07 15:30:00,1
2019-12-07 15:50:00,2
2019-12-07 15:51:00,4
2019-12-07 15:52:00,2
2019-12-07 15:53:00,2
2019-12-07 15:54:00,3
2019-12-07 15:55:00,3
2019-12-07 15:56:00,4
2019-12-07 15:57:00,2
2019-12-07 15:58:00,3
2019-12-07 15:59:00,2
2019-12-07 16:00:00,4
2019-12-07 16:01:00,3
2019-12-07 16:02:00,4
2019-12-07 16:03:00,1
2019-12-07 16:04:00,4
2019-12-07 16:05:00,3
2019-12-07 16:06:00,4
2019-12-07 16:07:00,4
2019-12-07 16:08:00,2
2019-12-07 16:23:00,1
2019-12-07 16:24:00,2
2019-12-07 17:46:00,2
2019-12-07 18:05:00,1
2019-12-07 18:43:00,1
2019-12-07 20:47:00,1
2019-12-07 20:51:00,1
