171,"SELECT g.ra, g.dec, g.vhelio_avg, g.vscatter, g.verr, c.teff, c.teff_err, c.m_h, c.m_h_err, c.alpha_m, c.alpha_m_err FROM apogeeStar as g JOIN aspcapStar as c ON g.apstar_id = c.apstar_id WHERE g.ra > &&& AND g.ra < &&& AND g.dec > &&& AND g.dec < &&& AND c.alpha_m > # AND c.m_h > #"
2019-12-07 01:11:00,1
2019-12-07 01:12:00,1
2019-12-07 01:13:00,1
2019-12-07 01:16:00,1
2019-12-07 01:17:00,1
2019-12-07 01:18:00,1
2019-12-07 01:51:00,1
2019-12-07 02:04:00,1
2019-12-07 02:39:00,1
2019-12-07 02:43:00,1
2019-12-07 03:12:00,1
2019-12-07 03:13:00,1
2019-12-07 03:14:00,1
2019-12-07 03:18:00,8
2019-12-07 03:19:00,32
2019-12-07 03:20:00,32
2019-12-07 03:21:00,32
2019-12-07 03:22:00,33
2019-12-07 03:23:00,21
