467,"SELECT sp.objid,sp.ra,sp.dec, sp.class, sp.z as redshift, ISNULL(m.k,#) as k , sp.dered_r, sp.camcol, sp.field, sp.run, sp.rerun FROM SpecPhoto AS sp JOIN apogeeOBJECT AS m ON sp.dec = m.dec WHERE sp.z ># AND sp.z < # AND sp.class = GALAXY&&&"
2019-12-07 00:00:00,31
2019-12-07 00:01:00,32
2019-12-07 00:02:00,31
2019-12-07 00:03:00,32
2019-12-07 00:04:00,31
2019-12-07 00:05:00,27
2019-12-07 00:06:00,30
2019-12-07 00:07:00,32
2019-12-07 00:08:00,31
2019-12-07 00:09:00,33
2019-12-07 00:10:00,32
2019-12-07 00:11:00,32
2019-12-07 00:12:00,32
2019-12-07 00:13:00,32
2019-12-07 00:14:00,29
