103,"SELECT s.specObjID as spec_id, dbo.fGetUrlFitsSpectrum(s.specObjId) as spec_url FROM PhotoObj AS p JOIN SpecObj AS s ON s.bestobjid = p.objid WHERE p.ra BETWEEN # AND # AND p.dec BETWEEN # AND # AND p.type=# AND s.snMedian>#"
2019-12-07 06:00:00,1
2019-12-07 06:01:00,3
2019-12-07 06:02:00,4
2019-12-07 06:03:00,3
2019-12-07 06:04:00,3
2019-12-07 06:05:00,2
2019-12-07 06:06:00,3
2019-12-07 06:07:00,3
2019-12-07 06:08:00,4
2019-12-07 06:09:00,3
2019-12-07 06:10:00,4
2019-12-07 06:11:00,3
2019-12-07 06:12:00,4
2019-12-07 06:13:00,3
2019-12-07 06:14:00,2
2019-12-07 06:15:00,2
2019-12-07 06:16:00,2
2019-12-07 06:17:00,2
2019-12-07 06:18:00,3
2019-12-07 06:19:00,2
2019-12-07 06:20:00,2
2019-12-07 06:21:00,2
2019-12-07 06:22:00,2
2019-12-07 06:23:00,2
2019-12-07 06:24:00,2
2019-12-07 06:45:00,1
2019-12-07 06:46:00,2
2019-12-07 06:47:00,3
2019-12-07 06:48:00,3
2019-12-07 06:49:00,3
2019-12-07 06:50:00,3
2019-12-07 06:51:00,2
2019-12-07 06:52:00,3
2019-12-07 06:53:00,3
2019-12-07 06:54:00,1
2019-12-07 07:00:00,1
2019-12-07 07:01:00,2
2019-12-07 07:02:00,2
2019-12-07 07:03:00,1
2019-12-07 07:15:00,1
2019-12-07 07:16:00,3
2019-12-07 07:17:00,2
2019-12-07 07:44:00,1
