2,"SELECT sp.ra, sp.dec FROM SpecPhotoAll AS sp WHERE sp.ra > &&& AND sp.ra < &&& AND sp.dec > &&& AND sp.dec < &&&"
2019-12-07 02:13:00,1
2019-12-07 02:14:00,1
