2,"SELECT g.objid,g.ra,g.dec,g.insidemask,g.rerun,g.run,g.camcol,g.probpsf,g.psfmag_r,g.psfmagerr_r,g.cmodelMag_r,g.cmodelmagerr_r,p.z,p.zerr into mydb.MyTable from GalaxyTag as g JOIN Photoz as p on g.ObjId = p.ObjID WHERE g.ra between # and # AND g.dec between # and # AND g.type = # AND g.cmodelmag_r < #"
2019-11-20 03:34:00,1
2019-11-20 03:36:00,1
